,Speaker,Utterance,Unified
5,M,"Well, I am","M|Well, I am"
6,A,"No, regardless of that fact. It's the best car in the class for the cheapest amount of money. I'm interested in having it for, uh, doing a little autocross racing, uh, closed circuit racing","A|No, regardless of that fact. It's the best car in the class for the cheapest amount of money. I'm interested in having it for, uh, doing a little autocross racing, uh, closed circuit racing"
7,M,American?,M|American?
8,A,"and, uh, it seems to just blow the competition away.","A|and, uh, it seems to just blow the competition away."
9,M,"I don't think so, but I'm not sure.","M|I don't think so, but I'm not sure."
10,A,"Handling, power, everything. Yeah, it just got like the top rating. It was compared up against, uh, let's see, there was like the Mazda M X three, uh, Nissan's, whatever, their two, N X two thousand, the Civic S I and it just, you know, it, it dominated over all of them. Everybody, all the, uh, raters loved it. I like the, I like the styling and, I seen a few of them actually race and they seem to be really good cars for it.","A|Handling, power, everything. Yeah, it just got like the top rating. It was compared up against, uh, let's see, there was like the Mazda M X three, uh, Nissan's, whatever, their two, N X two thousand, the Civic S I and it just, you know, it, it dominated over all of them. Everybody, all the, uh, raters loved it. I like the, I like the styling and, I seen a few of them actually race and they seem to be really good cars for it."
11,M,...,M|...
12,A,"Mustang G T Uh, can't afford it.","A|Mustang G T Uh, can't afford it."
13,M,,M|
14,A,"Right, yeah, I'm a graduate student and, let's face it, I don't make any money so,","A|Right, yeah, I'm a graduate student and, let's face it, I don't make any money so,"
15,M,You're.,M|You're.
16,A,"Yeah. Yeah, we'll see then. Yeah, right now I'm stuck, I, I've got a, a Pontiac Sunbird Turbo that, it's fast, but unreliable and trying to get it prepared for racing. But it's, it would be nice, just like scrap it and go for the Saturn.","A|Yeah. Yeah, we'll see then. Yeah, right now I'm stuck, I, I've got a, a Pontiac Sunbird Turbo that, it's fast, but unreliable and trying to get it prepared for racing. But it's, it would be nice, just like scrap it and go for the Saturn."
17,M,,M|
18,A,"Oh, yeah, I'd do it, I'd use it for both. The nice thing about autocrossing is you can, you can do both.","A|Oh, yeah, I'd do it, I'd use it for both. The nice thing about autocrossing is you can, you can do both."
19,M,"I'd be nice,","M|I'd be nice,"
20,A,"Uh, just like a, uh, set up a lot of times and it's like really large, uh, parking lots. And pylons and things.","A|Uh, just like a, uh, set up a lot of times and it's like really large, uh, parking lots. And pylons and things."
21,M,"Oh, i mean","M|Oh, i mean"
22,A,"Tight turns, hard acceleration. I've seen a lot of Mustangs, uh, compete and it's interesting. They get dominated by the Corvettes that are also in their class.","A|Tight turns, hard acceleration. I've seen a lot of Mustangs, uh, compete and it's interesting. They get dominated by the Corvettes that are also in their class."
23,M,I like,M|I like
24,A,Yeah.,A|Yeah.
25,M,Do you know how to drive a car?,M|Do you know how to drive a car?
26,A,"Uh, what are you thinking about buying?","A|Uh, what are you thinking about buying?"
27,M,"I think so.Well, the cars are my main car.To me, the best car is the mustang.","M|I think so.Well, the cars are my main car.To me, the best car is the mustang."
28,A,The Legend. Uh.,A|The Legend. Uh.
29,M,I wonder what the name of the car would be?,M|I wonder what the name of the car would be?
30,A,Uh-huh. Yeah.,A|Uh-huh. Yeah.
31,M,"A Toyota, uh, A3?","M|A Toyota, uh, A3?"
32,A,"Yeah, well, I was, I was actually in, uh, a lot of the B M W are produced in, uh, uh, Stutgardt and, uh, and Munich","A|Yeah, well, I was, I was actually in, uh, a lot of the B M W are produced in, uh, uh, Stutgardt and, uh, and Munich"
33,M,I was there.,M|I was there.
34,A,"and I was, I was there this, uh, summer and, uh, I was really impressed by the, uh, the, uh, factory, uh, tours and such for B M W.","A|and I was, I was there this, uh, summer and, uh, I was really impressed by the, uh, the, uh, factory, uh, tours and such for B M W."
35,M,"And I was, uh, uh","M|And I was, uh, uh"
36,A,Yeah.,A|Yeah.
37,M,,M|
38,A,"Uh, Oh, of course, of course they are. They want you to buy their car. Yeah, there, it was, it was interesting. I was at, I, I also went to, uh, the Porsche and, uh, it was, it was amazing how they were completely opposed.","A|Uh, Oh, of course, of course they are. They want you to buy their car. Yeah, there, it was, it was interesting. I was at, I, I also went to, uh, the Porsche and, uh, it was, it was amazing how they were completely opposed."
39,M,They,M|They
40,A,"Yeah, the, uh, the B M W is really, oh, like, oh, we have all these like high tech things and everything is put together with exacting tolerances and, and then you go to Porsche and it's like, well, uh, these cars are completely handmade","A|Yeah, the, uh, the B M W is really, oh, like, oh, we have all these like high tech things and everything is put together with exacting tolerances and, and then you go to Porsche and it's like, well, uh, these cars are completely handmade"
41,M,"That's,","M|That's,"
