,Speaker,Utterance,Unified
5,M,She was already there.,M|She was already there.
6,A,"So, what are your thoughts on dining out?","A|So, what are your thoughts on dining out?"
7,M,She nods and walks away,M|She nods and walks away
8,A,Not for the price?,A|Not for the price?
9,M,"I think, uh, I'll try to get out of the house and spend some time with her.","M|I think, uh, I'll try to get out of the house and spend some time with her."
10,A,Okay.,A|Okay.
11,M,I do not eat at restaurants.,M|I do not eat at restaurants.
12,A,Uh-huh. The Really? Okay.,A|Uh-huh. The Really? Okay.
13,M,I don't think you can afford that,M|I don't think you can afford that
14,A,Uh-huh.,A|Uh-huh.
15,M,Oh. Well... I guess you can't really argue that.,M|Oh. Well... I guess you can't really argue that.
16,A,"My word, it's like mama in the back kitchen, huh?","A|My word, it's like mama in the back kitchen, huh?"
17,M,It's like a real life version of a movie.,M|It's like a real life version of a movie.
18,A,Oh.,A|Oh.
19,M,I was thinking more of the food.,M|I was thinking more of the food.
20,A,Yeah.,A|Yeah.
21,M,You serious?,M|You serious?
22,A,Uh-huh.,A|Uh-huh.
23,M,He's pretty good.,M|He's pretty good.
24,A,Okay.,A|Okay.
25,M,He's not wrong.,M|He's not wrong.
26,A,"Wow. And where was that at, near your,","A|Wow. And where was that at, near your,"
27,M,"Yeah, it's the one with the beef and the","M|Yeah, it's the one with the beef and the"
28,A,"Where, is it in Dallas?","A|Where, is it in Dallas?"
29,M,"Oh. Um,","M|Oh. Um,"
30,A,Is it in the phone book?,A|Is it in the phone book?
31,M,"You know, you're not wrong.","M|You know, you're not wrong."
32,A,Do you know how to spell it?,A|Do you know how to spell it?
33,M,It's a reference to the book.,M|It's a reference to the book.
34,A,Okay.,A|Okay.
35,M,"Umm, I'm not really sure.","M|Umm, I'm not really sure."
36,A,"Kalli , K A L L I? Okay.","A|Kalli , K A L L I? Okay."
37,M,"Yeah, I think you're right.","M|Yeah, I think you're right."
38,A,"Uh-huh, section, yes, uh-huh.","A|Uh-huh, section, yes, uh-huh."
39,M,How do you find it?,M|How do you find it?
40,A,"What about fast foods? Do you have a preference if you were going to, eat a fast food?","A|What about fast foods? Do you have a preference if you were going to, eat a fast food?"
41,M,"Well, that's, uh, not good.","M|Well, that's, uh, not good."
42,A,"You do, like Arby's? See I don't like Arby's.","A|You do, like Arby's? See I don't like Arby's."
43,M,We like Arbys.,M|We like Arbys.
44,A,"No, because they use everything they can and make this into pressed whatever. They use the, they use the insides of the animals, heart and liver and they, they form it, and they make it look like roast beef, and I said, no, thank you.","A|No, because they use everything they can and make this into pressed whatever. They use the, they use the insides of the animals, heart and liver and they, they form it, and they make it look like roast beef, and I said, no, thank you."
45,M,What?,M|What?
46,A,"Well, that's not what I heard, from one of, somebody that was supposed to know what they were talking about.","A|Well, that's not what I heard, from one of, somebody that was supposed to know what they were talking about."
47,M,?,M|?
48,A,Uh-huh.,A|Uh-huh.
49,M,What is this?,M|What is this?
50,A,Really?,A|Really?
51,M,I've worked at Arby s for many years.,M|I've worked at Arby s for many years.
52,A,Unless somebody is trying to blackball them.,A|Unless somebody is trying to blackball them.
53,M,"Well, they are the only ones that aren't a big deal to me.","M|Well, they are the only ones that aren't a big deal to me."
54,A,Uh-huh.,A|Uh-huh.
55,M,No.,M|No.
56,A,Okay.,A|Okay.
57,M,I'm not sure if I want to go.,M|I'm not sure if I want to go.
58,A,"How about the health food, uh, restaurants? Well, like this one but it's probably not advertised as such, is it? Or,","A|How about the health food, uh, restaurants? Well, like this one but it's probably not advertised as such, is it? Or,"
59,M,What do you mean?,M|What do you mean?
60,A,"Uh-huh. Health food, uh, restaurants that,","A|Uh-huh. Health food, uh, restaurants that,"
61,M,What kind of food do you think would be best?,M|What kind of food do you think would be best?
62,A,"Well well, like, um, well, I can't really think of any off the top of my head right now because there's so few and far between.","A|Well well, like, um, well, I can't really think of any off the top of my head right now because there's so few and far between."
63,M,"Like, like, name one.","M|Like, like, name one."
64,A,"But they ought, there are restaurants that cater to the people that are very health conscious. You know, as far as their cholesterol levels and their, their fat content and, you know, the amount of calcium and so forth that are in each product and they list them. Now there's one restaurant that does that and it's called Rodolfo's over on Preston Road and Royal Lane I believe.","A|But they ought, there are restaurants that cater to the people that are very health conscious. You know, as far as their cholesterol levels and their, their fat content and, you know, the amount of calcium and so forth that are in each product and they list them. Now there's one restaurant that does that and it's called Rodolfo's over on Preston Road and Royal Lane I believe."
65,M,...,M|...
66,A,And they have very good food over there.,A|And they have very good food over there.
67,M,You know.their.their.,M|You know.their.their.
68,A,"Uh-huh, uh-huh. They do list, um, you know, list the fat,","A|Uh-huh, uh-huh. They do list, um, you know, list the fat,"
69,M,"How does it, how?","M|How does it, how?"
70,A,"Uh-huh, uh-huh.","A|Uh-huh, uh-huh."
71,M,But I'm going to the game!,M|But I'm going to the game!
72,A,"Well, it was pretty reasonable. I, it was around ten dollars for lunch. Okay, which is kind of high for lunch I guess.","A|Well, it was pretty reasonable. I, it was around ten dollars for lunch. Okay, which is kind of high for lunch I guess."
73,M,"I don't think it was that much, it was probably like, 50 dollars.","M|I don't think it was that much, it was probably like, 50 dollars."
74,A,Yes.,A|Yes.
75,M,You were going to eat lunch?,M|You were going to eat lunch?
76,A,"Yes, uh-huh.","A|Yes, uh-huh."
77,M,Is that what I said?,M|Is that what I said?
78,A,"Yeah. Uh, but, um, you were served by maitre d's and, and, uh, um, men waiters.","A|Yeah. Uh, but, um, you were served by maitre d's and, and, uh, um, men waiters."
79,M,"Yes.uh, um","M|Yes.uh, um"
80,A,"Well, if you're looking for a nice, Uh-huh. Well, I guess if you were having, if you were trying to impress somebody like taking somebody that you hadn't seen for a long time and wanted to show them a good restaurant. It's a special occasion, type thing.","A|Well, if you're looking for a nice, Uh-huh. Well, I guess if you were having, if you were trying to impress somebody like taking somebody that you hadn't seen for a long time and wanted to show them a good restaurant. It's a special occasion, type thing."
81,M,You.,M|You.
82,A,Yeah.,A|Yeah.
83,M,"No, and","M|No, and"
84,A,Uh-huh. And now the Red Lobster I found is very nice at lunchtime.,A|Uh-huh. And now the Red Lobster I found is very nice at lunchtime.
85,M,I don't know.,M|I don't know.
86,A,"Because they're, Well, they have lunch specials that you can't, you can't beat that price, uh, if you went to a cafeteria.","A|Because they're, Well, they have lunch specials that you can't, you can't beat that price, uh, if you went to a cafeteria."
87,M,Why do you hate the red lobster?,M|Why do you hate the red lobster?
88,A,"Well, I had the, I had a broiled chicken breast and it was excellent. It was a marinated, broiled chicken breast and it was","A|Well, I had the, I had a broiled chicken breast and it was excellent. It was a marinated, broiled chicken breast and it was"
89,M,"I'm not,","M|I'm not,"
90,A,"Oh, it was,","A|Oh, it was,"
91,M,"I know, I was joking.","M|I know, I was joking."
92,A,"Well, I've never had catfish either in a restaurant because I'm from the north and that was a no no.","A|Well, I've never had catfish either in a restaurant because I'm from the north and that was a no no."
93,M,"No, it's a food.","M|No, it's a food."
94,A,And I haven't gotten over that from the north.,A|And I haven't gotten over that from the north.
95,M,You're from the south.,M|You're from the south.
96,A,"I know they say that, that is,","A|I know they say that, that is,"
97,M,The north is best,M|The north is best
98,A,"but I'm, but they've got all these caution signs now on fish","A|but I'm, but they've got all these caution signs now on fish"
99,M,"That's a good thing, though.","M|That's a good thing, though."
100,A,and so I kind of stay,A|and so I kind of stay
101,M,he's gonna go down,M|he's gonna go down
102,A,"Because of all the pollution in the lakes and the, everywhere. I mean there isn't any safe haven anymore for fish.","A|Because of all the pollution in the lakes and the, everywhere. I mean there isn't any safe haven anymore for fish."
103,M,Why? I love the lake.,M|Why? I love the lake.
104,A,"and especially, uh, in Wisconsin and Michigan they say, no, buying of our fish.","A|and especially, uh, in Wisconsin and Michigan they say, no, buying of our fish."
105,M,It's all about the fish.,M|It's all about the fish.
106,A,"I, Well, yeah. So I am, and the, the best brand of chicken to buy is the, uh, Pilgrim Pride because they don't use all these hormones to remote , uh, unnatural growth in their products.","A|I, Well, yeah. So I am, and the, the best brand of chicken to buy is the, uh, Pilgrim Pride because they don't use all these hormones to remote , uh, unnatural growth in their products."
107,M,"I'm, well, I'm, I don't, stop eating","M|I'm, well, I'm, I don't, stop eating"
108,A,"So I mean, we have to be on the lookout if we want to stay healthy.","A|So I mean, we have to be on the lookout if we want to stay healthy."
109,M,We have to look to the future.,M|We have to look to the future.
110,A,"So I'm, I, you know, I,","A|So I'm, I, you know, I,"
111,M,Are you sure?,M|Are you sure?
112,A,Uh-huh. Yeah. Corrode. Huh.,A|Uh-huh. Yeah. Corrode. Huh.
113,M,I'm so confused.,M|I'm so confused.
114,A,Uh-huh.,A|Uh-huh.
115,M,"I don't, uh, I don't want to, uh...","M|I don't, uh, I don't want to, uh..."
116,A,"Well, I'd like to get ahold of some engineers and knock their heads together if it would do any good.","A|Well, I'd like to get ahold of some engineers and knock their heads together if it would do any good."
117,M,"Err, yes. I'd rather have the metal in the water, rather than a mess of rust.","M|Err, yes. I'd rather have the metal in the water, rather than a mess of rust."
118,A,"Oh, dear.","A|Oh, dear."
119,M,They don't. They have a long life.,M|They don't. They have a long life.
120,A,Wow.,A|Wow.
121,M,It's a joke.,M|It's a joke.
122,A,Sure. Yeah.,A|Sure. Yeah.
123,M,"Well, this is old.","M|Well, this is old."
124,A,"That's right. Everything we eat. Everything, everything we eat should have a label on it","A|That's right. Everything we eat. Everything, everything we eat should have a label on it"
125,M,And what if we eat it?,M|And what if we eat it?
126,A,Yeah.,A|Yeah.
127,M,"But we can't, right?","M|But we can't, right?"
128,A,"Well, you know,","A|Well, you know,"
129,M,I think I know.,M|I think I know.
130,A,"Well, Becky, you know, even if you lived off your own land, that you would have to put caution signs,","A|Well, Becky, you know, even if you lived off your own land, that you would have to put caution signs,"
