,Speaker,Utterance,Unified
5,A,"Right, as a matter of fact, I was thinking that same thing, unconditional love. They just give it, and don't expect too much.","A|Right, as a matter of fact, I was thinking that same thing, unconditional love. They just give it, and don't expect too much."
6,M,I don't think so.,M|I don't think so.
7,A,"Anyway, do you have a pet?","A|Anyway, do you have a pet?"
8,M,"Yeah, I know.","M|Yeah, I know."
9,A,Oh! like a,A|Oh! like a
10,M,"She had a pet, and she's now in a relationship.","M|She had a pet, and she's now in a relationship."
11,A,"Oh, I'm so sorry. But that's good that you're going to get another one.","A|Oh, I'm so sorry. But that's good that you're going to get another one."
12,M,I just had a kitten.,M|I just had a kitten.
13,A,"I know some of my friends who have pets, uh, and they just are really, you know, the ones that have dogs are very, uh, protective of them and I think that's one reason they have them, especially older people that I know, that have pets. But they just, um, really take care of them, or, uh, are protective of them.","A|I know some of my friends who have pets, uh, and they just are really, you know, the ones that have dogs are very, uh, protective of them and I think that's one reason they have them, especially older people that I know, that have pets. But they just, um, really take care of them, or, uh, are protective of them."
14,M,"that,","M|that,"
15,A,"Yeah, an, and my, my kids,","A|Yeah, an, and my, my kids,"
16,M,Food.,M|Food.
17,A,"um, they really want a dog badly, and they've been looking and looking and want, you know, they'd take anything I think","A|um, they really want a dog badly, and they've been looking and looking and want, you know, they'd take anything I think"
18,M,I want a lot of course.,M|I want a lot of course.
19,A,"but, um, I don't know do you like, I guess your cat was an indoor cat.","A|but, um, I don't know do you like, I guess your cat was an indoor cat."
20,M,"He was never in my house, but I do like the cat.","M|He was never in my house, but I do like the cat."
21,A,It kind of traveled around travel .,A|It kind of traveled around travel .
22,M,You're a cat?,M|You're a cat?
23,A,"Yeah, when I had a Cocker Spaniel it, it was an outdoor dog and, uh, I think I liked that better.","A|Yeah, when I had a Cocker Spaniel it, it was an outdoor dog and, uh, I think I liked that better."
24,M,Did you know the dog was trained?,M|Did you know the dog was trained?
25,A,"Yeah, that's true.","A|Yeah, that's true."
26,M,"Yes, it's","M|Yes, it's"
27,A,"Yeah, that's true. Take them for walks, right. Yeah, I see all the people on, on Sunday going for a walk with their dogs and, and I, I'm kind of skeptical with my son getting a dog, I'm like I know it will be fun the first week maybe,","A|Yeah, that's true. Take them for walks, right. Yeah, I see all the people on, on Sunday going for a walk with their dogs and, and I, I'm kind of skeptical with my son getting a dog, I'm like I know it will be fun the first week maybe,"
28,M,no.,M|no.
29,A,"and then mom gets to take care of it, or something. So, I","A|and then mom gets to take care of it, or something. So, I"
30,M,that's,M|that's
31,A,"Oh, that's exciting. Yeah.","A|Oh, that's exciting. Yeah."
32,M,So,M|So
33,A,"Yeah, I think it's really important to that, that if you get a pet that they're either spayed or neutered so that, you know, we're not just going on with this pet population and having to, just get rid of them.","A|Yeah, I think it's really important to that, that if you get a pet that they're either spayed or neutered so that, you know, we're not just going on with this pet population and having to, just get rid of them."
34,M,It'shoot.,M|It'shoot.
35,A,"That, that kind of gripes on me some, but, but I don't know.","A|That, that kind of gripes on me some, but, but I don't know."
36,M,It's the same reason you have a pet.,M|It's the same reason you have a pet.
37,A,"More and more people are,  Right, right.","A|More and more people are,  Right, right."
38,M,...,M|...
39,A,"But, uh,","A|But, uh,"
40,M,"And, uh, I think, you know, and","M|And, uh, I think, you know, and"
41,A,I think that's really true.,A|I think that's really true.
42,M,The best part is when you realize it's true.,M|The best part is when you realize it's true.
43,A,Yeah.,A|Yeah.
44,M,I'm sorry.,M|I'm sorry.
45,A,"Yeah, exactly.","A|Yeah, exactly."
46,M,"You're talking about the kittens, right?","M|You're talking about the kittens, right?"
47,A,"Exactly. I think our community is a lot more conscious now though too, and, and that's good too.","A|Exactly. I think our community is a lot more conscious now though too, and, and that's good too."
48,M,It's still a lot better than the community.,M|It's still a lot better than the community.
49,A,"Well, I think that's all I have to say.","A|Well, I think that's all I have to say."
50,M,It's fine.Thanks for the talk though,M|It's fine.Thanks for the talk though
51,A,"Okay, have a good night.   All right, bye-bye.","A|Okay, have a good night.   All right, bye-bye."
52,M,I think it was the same.,M|I think it was the same.
