Freq.	Free Freq.	Size	Surface Form	Establishment turn	Spanning	Priming	First Speaker	Turns	Span Lists
2	0	4	oh , really ?	19	1	1	B	18,19	[[18, 19]]
2	0	4	uh , i think	27	5	1	B	22,27	[[22, 27]]
4	2	3	, uh ,	25	5	3	B	22,24,25,27	[[22, 24, 25, 27], [24, 25, 27]]
3	1	3	, i think	27	5	2	B	22,26,27	[[22, 26, 27]]
3	1	2	, i	27	5	3	B	22,26,27	[[22, 26, 27], [26, 27]]
4	2	2	, uh	25	5	3	B	22,24,25,27	[[22, 24, 25, 27], [24, 25, 27]]
2	0	2	, it's	55	1	3	B	54,55	[[54, 55]]
2	0	2	oh ,	19	1	1	B	18,19	[[18, 19]]
2	0	2	a mercedes	53	1	1	B	52,53	[[52, 53]]
2	0	2	have a	53	1	1	B	52,53	[[52, 53]]
2	0	2	is that	15	1	1	B	14,15	[[14, 15]]
2	0	2	to buy	1	1	1	B	0,1	[[0, 1]]
2	0	2	want to	1	1	1	B	0,1	[[0, 1]]
10	2	1	a	25	31	1	B	22,24,25,42,43,44,47,48,52,53	[[22, 24, 25], [24, 25], [42, 43, 44, 47], [44, 47], [48, 52, 53], [52, 53]]
5	1	1	you	45	13	1	B	42,45,52,54,55	[[42, 45], [52, 54, 55]]
4	0	1	of	5	27	1	B	4,5,30,31	[[4, 5], [30, 31]]
2	0	1	to	1	1	1	B	0,1	[[0, 1]]
4	2	1	uh	25	5	3	B	22,24,25,27	[[22, 24, 25, 27], [24, 25, 27]]
3	1	1	that	15	3	2	B	12,14,15	[[12, 14, 15], [14, 15]]
2	0	1	have	53	1	3	B	52,53	[[52, 53]]
2	0	1	is	15	1	1	B	14,15	[[14, 15]]
2	0	1	want	1	1	1	B	0,1	[[0, 1]]
2	0	1	but	53	1	1	B	52,53	[[52, 53]]
2	0	1	buy	1	1	1	B	0,1	[[0, 1]]
2	0	1	really	19	1	1	B	18,19	[[18, 19]]
2	0	1	racing	17	5	1	B	12,17	[[12, 17]]
3	1	1	track	17	3	2	B	14,16,17	[[14, 16, 17]]
2	0	1	realistic	41	1	1	B	40,41	[[40, 41]]
2	0	1	wait	11	1	1	B	10,11	[[10, 11]]
