Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	5	. Uh-huh , uh-huh .	19	A	19, 37
4	4	Uh-huh , uh-huh .	23	A	19, 21, 37, 41
2	4	, you know ,	13	A	13, 25
2	4	, you know .	11	A	15, 25
2	4	I can hardly wait	3	A	15, 17
2	4	Uh-huh . Uh-huh .	33	A	7, 39
3	3	Uh-huh . Uh-huh	33	A	7, 37, 39
2	3	, uh ,	3	A	1, 3
2	3	I used to	17	A	9, 25
2	3	Uh , I	17	A	27, 43
2	3	to get that	9	A	17, 25
2	3	to get the	9	A	17, 25
8	2	Uh-huh .	35	A	5, 7, 23, 31, 33, 35, 37, 39
5	2	, I	35	A	9, 13, 25, 27, 43
4	2	to get	25	A	1, 15, 17, 25
3	2	. I	13	A	13, 15, 25
3	2	I don't	31	A	13, 41, 43
3	2	know ,	33	A	13, 25, 45
3	2	that .	25	A	1, 9, 25
2	2	. Well	5	A	37, 41
2	2	I ,	13	A	13, 25
2	2	Well I	7	A	41, 47
2	2	Yeah ,	17	A	9, 25
2	2	Yeah .	3	A	11, 13
2	2	it ,	5	A	9, 13
2	2	like that	13	A	1, 13
2	2	than that	31	A	13, 43
10	1	I	47	A	1, 9, 13, 15, 17, 25, 27, 41, 43, 47
8	1	that	47	A	1, 9, 13, 17, 25, 37, 43, 47
8	1	to	41	A	1, 9, 13, 15, 17, 25, 37, 41
6	1	you	39	A	3, 13, 15, 25, 37, 41
5	1	Yeah	21	A	9, 11, 13, 25, 29
5	1	get	25	A	1, 3, 15, 17, 25
5	1	it	39	A	9, 13, 17, 25, 47
5	1	know	33	A	13, 15, 25, 41, 45
3	1	and	35	A	13, 17, 47
3	1	in	13	A	13, 15, 25
3	1	so	45	A	1, 25, 45
3	1	the	11	A	15, 17, 25
2	1	I'm	13	A	13, 25
2	1	So	23	A	3, 25
2	1	a	13	A	1, 13
2	1	about	17	A	25, 41
2	1	be	23	A	25, 47
2	1	could	5	A	37, 41
2	1	go	25	A	13, 37
2	1	magazines	5	A	37, 41
2	1	my	15	A	1, 15
2	1	or	25	A	13, 37
2	1	other	29	A	13, 41
2	1	read	3	A	13, 15
2	1	really	13	A	13, 25
2	1	take	35	A	9, 43
2	1	then	47	A	1, 47
2	1	what	23	A	3, 25

