Freq.	Free Freq.	Size	Surface Form	Establishment turn	Spanning	Priming	First Speaker	Turns
2	2	4	, you know ,	42	28	1	A	15, 42
13	13	3	, uh ,	7	54	1	M	4, 7, 11, 13, 15, 17, 23, 27, 31, 37, 43, 55, 57
3	1	3	, you know	43	29	1	A	15, 42, 43
3	3	3	I am ,	30	37	1	A	7, 30, 43
2	2	3	, I guess	59	2	1	M	58, 59
2	2	3	, I think	54	44	1	A	11, 54
13	1	2	uh ,	15	54	1	M	4, 7, 11, 13, 15, 17, 23, 27, 31, 37, 43, 55, 57
9	5	2	, I	54	53	6	A	7, 11, 13, 17, 31, 43, 54, 58, 59
6	3	2	, you	42	43	2	A	15, 37, 42, 43, 53, 57
4	3	2	I am	30	43	1	A	7, 30, 43, 49
4	2	2	know ,	15	53	1	M	2, 15, 42, 54
4	1	2	you know	42	29	2	A	15, 19, 42, 43
3	3	2	I call	38	8	2	A	31, 33, 38
3	1	2	I guess	58	17	1	A	43, 58, 59
3	1	2	I think	55	45	1	A	11, 54, 55
3	3	2	a very	50	3	1	A	49, 50, 51
2	2	2	, it's	52	12	1	A	41, 52
2	2	2	But you	53	14	1	M	40, 53
2	2	2	I would	17	2	1	M	16, 17
2	2	2	What about	59	26	1	M	34, 59
2	2	2	confidence .	32	2	1	A	31, 32
2	2	2	gives you	32	2	1	A	31, 32
2	2	2	have to	55	46	1	M	10, 55
2	2	2	in the	50	44	1	A	7, 50
2	2	2	my dress	30	4	1	A	27, 30
2	2	2	season to	60	2	1	A	59, 60
2	2	2	think you	56	2	1	A	55, 56
23	14	1	I	7	58	1	M	2, 7, 9, 11, 13, 15, 16, 17, 19, 27, 29, 30, 31, 32, 33, 38, 43, 49, 54, 55, 56, 58, 59
16	6	1	you	15	58	1	M	0, 15, 19, 26, 31, 32, 36, 37, 40, 42, 43, 49, 53, 55, 56, 57
14	11	1	a	8	51	1	A	7, 8, 9, 19, 21, 29, 31, 43, 49, 50, 51, 53, 56, 57
14	1	1	uh	14	54	1	M	4, 7, 11, 13, 14, 15, 17, 23, 27, 31, 37, 43, 55, 57
12	12	1	and	30	51	6	A	7, 15, 17, 19, 21, 27, 30, 31, 33, 43, 51, 57
12	10	1	the	16	50	2	A	7, 15, 16, 31, 34, 38, 40, 43, 50, 53, 55, 56
11	11	1	of	16	42	1	A	15, 16, 19, 21, 23, 27, 31, 37, 43, 55, 56
11	7	1	to	11	51	1	M	10, 11, 17, 19, 21, 26, 27, 43, 55, 59, 60
10	10	1	it	10	47	1	A	9, 10, 23, 24, 32, 33, 37, 38, 43, 55
9	7	1	in	8	44	1	A	7, 8, 11, 13, 30, 31, 37, 43, 50
7	5	1	dress	30	39	3	A	21, 27, 29, 30, 43, 55, 59
7	1	1	know	32	53	1	M	2, 15, 19, 32, 42, 43, 54
7	6	1	my	30	37	4	A	7, 13, 17, 27, 30, 31, 43
5	5	1	he	22	21	2	A	19, 21, 22, 37, 39
5	5	1	like	8	37	1	A	7, 8, 17, 37, 43
5	2	1	very	50	45	3	A	7, 43, 49, 50, 51
4	2	1	But	49	18	1	M	40, 49, 53, 57
4	4	1	You	8	23	1	A	3, 8, 10, 25
4	1	1	call	38	22	3	A	17, 31, 33, 38
4	2	1	it's	52	14	2	A	41, 51, 52, 54
4	4	1	not	57	52	3	M	6, 42, 52, 57
4	4	1	wear	7	32	1	M	0, 7, 10, 31
3	3	1	from	60	48	2	A	13, 49, 60
3	3	1	here	30	3	1	A	29, 30, 31
3	3	1	job	56	44	2	A	13, 55, 56
3	3	1	understand	56	50	2	A	7, 49, 56
3	1	1	would	37	22	1	M	16, 17, 37
3	3	1	you're	37	51	1	M	8, 37, 58
2	2	1	It	60	30	1	A	31, 60
2	2	1	That	49	2	1	M	48, 49
2	2	1	back	26	2	1	A	25, 26
2	2	1	for	15	16	1	M	0, 15
2	1	1	have	55	46	1	M	10, 55
2	2	1	if	32	2	1	A	31, 32
2	1	1	season	60	2	1	A	59, 60
2	2	1	what	49	28	1	M	22, 49

