B:	huh-uh.
M:	they compete in all sports and compete with each other.
B:	kind of radical i know but
M:	snowing.
B:	uh-huh.
M:	that's not the point.
B:	and it's like you know um they live back in where we came from two hundred years ago.
M:	i
B:	and it's a fairly large one to heave it up into the back of the van bring it home and check it back and just grab it you know if i just go to my garage and grab it.
M:	i don't think you know what that means.
B:	right.
M:	you know i've been to a lot of shows.
B:	uh-huh. yeah yeah.
M:	i
