Freq.	Size	Surface Form	Spanning	First Speaker	Turns
4	3	, uh .	59	M	2, 46, 48, 60
2	3	, yeah .	33	M	12, 44
2	3	I , I	49	M	0, 48
2	3	Oh , really	3	M	16, 18
2	3	you know ,	5	M	48, 52
5	2	, uh	59	M	2, 32, 46, 48, 60
5	2	Oh ,	29	M	16, 18, 34, 36, 44
5	2	Right .	49	M	10, 22, 38, 56, 58
4	2	, I	49	M	0, 32, 34, 48
4	2	Uh-huh .	45	M	6, 8, 28, 50
3	2	Uh ,	43	M	12, 32, 54
3	2	Yeah .	13	M	30, 40, 42
2	2	, yeah	33	M	12, 44
2	2	I know	31	M	4, 34
2	2	Well ,	61	M	0, 60
2	2	that the	5	M	48, 52
6	1	Oh	29	M	16, 18, 24, 34, 36, 44
5	1	I	49	M	0, 4, 32, 34, 48
4	1	Uh	43	M	12, 20, 32, 54
4	1	Yeah	17	M	26, 30, 40, 42
3	1	a	33	M	0, 4, 32
3	1	that	49	M	4, 48, 52
3	1	the	49	M	4, 48, 52
2	1	And	5	M	48, 52
2	1	and	49	M	4, 52
2	1	have	21	M	32, 52
2	1	in	27	M	0, 26
2	1	problem	17	M	32, 48
2	1	to	27	M	26, 52
2	1	you	5	M	48, 52

