,response,context,context/0,context/1,context/2,context/3
0,Surely.,"But, then again I originally was from California and, uh, there is a big difference between Texas and California. And, uh  they'd have their smog alerts and where you'd have to stay indoors for so many hours with an air conditioner.",Uh-huh.,"Yeah. Is it, like water running and she is doing I know in here, uh, downtown Dallas, it's, you, I mean you drive by and you can just, you can see it.","Okay Carol. So, air quality.",Okay
1,"And, of course, they don't have that here in Texas so, there's ...",Surely.,"But, then again I originally was from California and, uh, there is a big difference between Texas and California. And, uh  they'd have their smog alerts and where you'd have to stay indoors for so many hours with an air conditioner.",Uh-huh.,"Yeah. Is it, like water running and she is doing I know in here, uh, downtown Dallas, it's, you, I mean you drive by and you can just, you can see it.","Okay Carol. So, air quality."
2,"You mean they don't have the, uh, the smog alerts?","And, of course, they don't have that here in Texas so, there's ...",Surely.,"But, then again I originally was from California and, uh, there is a big difference between Texas and California. And, uh  they'd have their smog alerts and where you'd have to stay indoors for so many hours with an air conditioner.",Uh-huh.,"Yeah. Is it, like water running and she is doing I know in here, uh, downtown Dallas, it's, you, I mean you drive by and you can just, you can see it."
3,"No, not in, not in well not in Dallas, that is.","You mean they don't have the, uh, the smog alerts?","And, of course, they don't have that here in Texas so, there's ...",Surely.,"But, then again I originally was from California and, uh, there is a big difference between Texas and California. And, uh  they'd have their smog alerts and where you'd have to stay indoors for so many hours with an air conditioner.",Uh-huh.
4,"Right. I, I, yeah, I spent a summer in Tyler so I know, just east of Dallas there.","No, not in, not in well not in Dallas, that is.","You mean they don't have the, uh, the smog alerts?","And, of course, they don't have that here in Texas so, there's ...",Surely.,"But, then again I originally was from California and, uh, there is a big difference between Texas and California. And, uh  they'd have their smog alerts and where you'd have to stay indoors for so many hours with an air conditioner."
5,Yeah. We're going there tomorrow.,"Right. I, I, yeah, I spent a summer in Tyler so I know, just east of Dallas there.","No, not in, not in well not in Dallas, that is.","You mean they don't have the, uh, the smog alerts?","And, of course, they don't have that here in Texas so, there's ...",Surely.
6,"Oh, really",Yeah. We're going there tomorrow.,"Right. I, I, yeah, I spent a summer in Tyler so I know, just east of Dallas there.","No, not in, not in well not in Dallas, that is.","You mean they don't have the, uh, the smog alerts?","And, of course, they don't have that here in Texas so, there's ..."
7,Uh-huh We're  packing and getting ready to go to .,"Oh, really",Yeah. We're going there tomorrow.,"Right. I, I, yeah, I spent a summer in Tyler so I know, just east of Dallas there.","No, not in, not in well not in Dallas, that is.","You mean they don't have the, uh, the smog alerts?"
8,"Yeah. Actually, I'm a California born person.",Uh-huh We're  packing and getting ready to go to .,"Oh, really",Yeah. We're going there tomorrow.,"Right. I, I, yeah, I spent a summer in Tyler so I know, just east of Dallas there.","No, not in, not in well not in Dallas, that is."
9,Uh-huh.,"Yeah. Actually, I'm a California born person.",Uh-huh We're  packing and getting ready to go to .,"Oh, really",Yeah. We're going there tomorrow.,"Right. I, I, yeah, I spent a summer in Tyler so I know, just east of Dallas there."
10,"I was born in L A so I know what you're talking about. In L A, it's pretty bad.",Uh-huh.,"Yeah. Actually, I'm a California born person.",Uh-huh We're  packing and getting ready to go to .,"Oh, really",Yeah. We're going there tomorrow.
11,"Yeah. Oh, okay. Yeah, you do then.","I was born in L A so I know what you're talking about. In L A, it's pretty bad.",Uh-huh.,"Yeah. Actually, I'm a California born person.",Uh-huh We're  packing and getting ready to go to .,"Oh, really"
12,"Uh, the worst city in the, in the world is actually, uh, Mexico City.","Yeah. Oh, okay. Yeah, you do then.","I was born in L A so I know what you're talking about. In L A, it's pretty bad.",Uh-huh.,"Yeah. Actually, I'm a California born person.",Uh-huh We're  packing and getting ready to go to .
13,Is it really?,"Uh, the worst city in the, in the world is actually, uh, Mexico City.","Yeah. Oh, okay. Yeah, you do then.","I was born in L A so I know what you're talking about. In L A, it's pretty bad.",Uh-huh.,"Yeah. Actually, I'm a California born person."
14,Yes.,Is it really?,"Uh, the worst city in the, in the world is actually, uh, Mexico City.","Yeah. Oh, okay. Yeah, you do then.","I was born in L A so I know what you're talking about. In L A, it's pretty bad.",Uh-huh.
15,I would not imagine that.,Yes.,Is it really?,"Uh, the worst city in the, in the world is actually, uh, Mexico City.","Yeah. Oh, okay. Yeah, you do then.","I was born in L A so I know what you're talking about. In L A, it's pretty bad."
16,The worst one for smog is Mexico City.,I would not imagine that.,Yes.,Is it really?,"Uh, the worst city in the, in the world is actually, uh, Mexico City.","Yeah. Oh, okay. Yeah, you do then."
17,Huh.,The worst one for smog is Mexico City.,I would not imagine that.,Yes.,Is it really?,"Uh, the worst city in the, in the world is actually, uh, Mexico City."
18,The most polluted city in the world,Huh.,The worst one for smog is Mexico City.,I would not imagine that.,Yes.,Is it really?
19,Huh. You learn  something every day.,The most polluted city in the world,Huh.,The worst one for smog is Mexico City.,I would not imagine that.,Yes.
20,". Yeah. I know that they've, they're looking at, uh, uh, you know, uh, you know, better running automobiles.",Huh. You learn  something every day.,The most polluted city in the world,Huh.,The worst one for smog is Mexico City.,I would not imagine that.
21,"Uh-huh. Yeah, I've seen that.",". Yeah. I know that they've, they're looking at, uh, uh, you know, uh, you know, better running automobiles.",Huh. You learn  something every day.,The most polluted city in the world,Huh.,The worst one for smog is Mexico City.
22,"Uh, some things they do, one of them is they're using corn in fuel.","Uh-huh. Yeah, I've seen that.",". Yeah. I know that they've, they're looking at, uh, uh, you know, uh, you know, better running automobiles.",Huh. You learn  something every day.,The most polluted city in the world,Huh.
23,Huh.,"Uh, some things they do, one of them is they're using corn in fuel.","Uh-huh. Yeah, I've seen that.",". Yeah. I know that they've, they're looking at, uh, uh, you know, uh, you know, better running automobiles.",Huh. You learn  something every day.,The most polluted city in the world
24,You ever heard of that?,Huh.,"Uh, some things they do, one of them is they're using corn in fuel.","Uh-huh. Yeah, I've seen that.",". Yeah. I know that they've, they're looking at, uh, uh, you know, uh, you know, better running automobiles.",Huh. You learn  something every day.
25,Huh-uh.,You ever heard of that?,Huh.,"Uh, some things they do, one of them is they're using corn in fuel.","Uh-huh. Yeah, I've seen that.",". Yeah. I know that they've, they're looking at, uh, uh, you know, uh, you know, better running automobiles."
26,Yeah. Methanol?,Huh-uh.,You ever heard of that?,Huh.,"Uh, some things they do, one of them is they're using corn in fuel.","Uh-huh. Yeah, I've seen that."
27,Huh. No,Yeah. Methanol?,Huh-uh.,You ever heard of that?,Huh.,"Uh, some things they do, one of them is they're using corn in fuel."
28,"Yeah. Well that's big up here because of the, they grow a lot of corn",Huh. No,Yeah. Methanol?,Huh-uh.,You ever heard of that?,Huh.
29,"Oh, yeah Yeah.","Yeah. Well that's big up here because of the, they grow a lot of corn",Huh. No,Yeah. Methanol?,Huh-uh.,You ever heard of that?
30,"Uh, that's one thing that they do. At that, it's pretty easy to do.","Oh, yeah Yeah.","Yeah. Well that's big up here because of the, they grow a lot of corn",Huh. No,Yeah. Methanol?,Huh-uh.
31,Uh-huh.,"Uh, that's one thing that they do. At that, it's pretty easy to do.","Oh, yeah Yeah.","Yeah. Well that's big up here because of the, they grow a lot of corn",Huh. No,Yeah. Methanol?
32,"And the, uh, unfortunately, it still contributes to global warming cause, you have to, you know, wipe out forests to grow corn and things like that.",Uh-huh.,"Uh, that's one thing that they do. At that, it's pretty easy to do.","Oh, yeah Yeah.","Yeah. Well that's big up here because of the, they grow a lot of corn",Huh. No
33,"Yeah, that's true.","And the, uh, unfortunately, it still contributes to global warming cause, you have to, you know, wipe out forests to grow corn and things like that.",Uh-huh.,"Uh, that's one thing that they do. At that, it's pretty easy to do.","Oh, yeah Yeah.","Yeah. Well that's big up here because of the, they grow a lot of corn"
34,"It doesn't make sense. Uh, but it's, you know, one of the most, uh, productive crop in the world  is corn.","Yeah, that's true.","And the, uh, unfortunately, it still contributes to global warming cause, you have to, you know, wipe out forests to grow corn and things like that.",Uh-huh.,"Uh, that's one thing that they do. At that, it's pretty easy to do.","Oh, yeah Yeah."
35,"Right. Huh. And, of course, I doubt if there's any, you can buy regular anymore. You buy unleaded. Right?","It doesn't make sense. Uh, but it's, you know, one of the most, uh, productive crop in the world  is corn.","Yeah, that's true.","And the, uh, unfortunately, it still contributes to global warming cause, you have to, you know, wipe out forests to grow corn and things like that.",Uh-huh.,"Uh, that's one thing that they do. At that, it's pretty easy to do."
36,Yeah.,"Right. Huh. And, of course, I doubt if there's any, you can buy regular anymore. You buy unleaded. Right?","It doesn't make sense. Uh, but it's, you know, one of the most, uh, productive crop in the world  is corn.","Yeah, that's true.","And the, uh, unfortunately, it still contributes to global warming cause, you have to, you know, wipe out forests to grow corn and things like that.",Uh-huh.
37,Yeah. Huh.,Yeah.,"Right. Huh. And, of course, I doubt if there's any, you can buy regular anymore. You buy unleaded. Right?","It doesn't make sense. Uh, but it's, you know, one of the most, uh, productive crop in the world  is corn.","Yeah, that's true.","And the, uh, unfortunately, it still contributes to global warming cause, you have to, you know, wipe out forests to grow corn and things like that."
38,"Drive cars with catalytic converters, and all that. It's interesting. They're, they're looking at, there's some work being done on, uh, automobiles that are electrical powered",Yeah. Huh.,Yeah.,"Right. Huh. And, of course, I doubt if there's any, you can buy regular anymore. You buy unleaded. Right?","It doesn't make sense. Uh, but it's, you know, one of the most, uh, productive crop in the world  is corn.","Yeah, that's true."
39,Uh-huh.,"Drive cars with catalytic converters, and all that. It's interesting. They're, they're looking at, there's some work being done on, uh, automobiles that are electrical powered",Yeah. Huh.,Yeah.,"Right. Huh. And, of course, I doubt if there's any, you can buy regular anymore. You buy unleaded. Right?","It doesn't make sense. Uh, but it's, you know, one of the most, uh, productive crop in the world  is corn."
40,"And, uh, they're looking at where you have a battery operated car basically, but it has a, a engine in the back that charges it.",Uh-huh.,"Drive cars with catalytic converters, and all that. It's interesting. They're, they're looking at, there's some work being done on, uh, automobiles that are electrical powered",Yeah. Huh.,Yeah.,"Right. Huh. And, of course, I doubt if there's any, you can buy regular anymore. You buy unleaded. Right?"
41,Uh-huh.,"And, uh, they're looking at where you have a battery operated car basically, but it has a, a engine in the back that charges it.",Uh-huh.,"Drive cars with catalytic converters, and all that. It's interesting. They're, they're looking at, there's some work being done on, uh, automobiles that are electrical powered",Yeah. Huh.,Yeah.
