,Speaker,Utterance,Unified
5,M,You can't. It's the best.,M|You can't. It's the best.
6,A,On A B C?,A|On A B C?
7,M,I think it was on the last Thursday night.,M|I think it was on the last Thursday night.
8,A,"Oh, oh, yeah, well, um, um, it may be that, um, it was recently replaced, by actually by, um, by what may be my favorite T V show of, because sort of, uh, um, TWIN PEAKS.","A|Oh, oh, yeah, well, um, um, it may be that, um, it was recently replaced, by actually by, um, by what may be my favorite T V show of, because sort of, uh, um, TWIN PEAKS."
9,M,"That's not it, that's just a reference to the episode.","M|That's not it, that's just a reference to the episode."
10,A,"Yeah, so, TWIN PEAKS, um, what happened was, I think, TWIN PEAKS, um, went, went off, they moved to a Saturday night for a while. And then put, and then put something, I guess, GABRIEL'S FIRE on it, and at Thursday nights, and then they moved, um, no, GABRIEL'S FIRE was on C B S, I think, I, I take that back. I'm not sure, but anyway they moved it back and forth and that's when PEAKS was back in that time slot as well. So, I don't know.","A|Yeah, so, TWIN PEAKS, um, what happened was, I think, TWIN PEAKS, um, went, went off, they moved to a Saturday night for a while. And then put, and then put something, I guess, GABRIEL'S FIRE on it, and at Thursday nights, and then they moved, um, no, GABRIEL'S FIRE was on C B S, I think, I, I take that back. I'm not sure, but anyway they moved it back and forth and that's when PEAKS was back in that time slot as well. So, I don't know."
11,M,,M|
12,A,"No, I have no idea. I don't think, I don't think that was on A B C, anyway I don't know what happened to it though.","A|No, I have no idea. I don't think, I don't think that was on A B C, anyway I don't know what happened to it though."
13,M,I.,M|I.
14,A,"Um, it's hard to say I'm sort of a very big TWIN PEAKS fan, and beyond that I just sort of watch anything that happens to be on. I'm, I'm, half the time I'm a T V addict and the other half the time I just ignore it it's really bad. Yeah, there's some new shows that I sort of like, um, have you seen this SHANNON FIELD SHOW or, uh, it's about a lawyer, it's one of these lawyer shows, you know, they seem to be popular these days. And there's a lot of those Blair shows floating around.","A|Um, it's hard to say I'm sort of a very big TWIN PEAKS fan, and beyond that I just sort of watch anything that happens to be on. I'm, I'm, half the time I'm a T V addict and the other half the time I just ignore it it's really bad. Yeah, there's some new shows that I sort of like, um, have you seen this SHANNON FIELD SHOW or, uh, it's about a lawyer, it's one of these lawyer shows, you know, they seem to be popular these days. And there's a lot of those Blair shows floating around."
15,M,yes,M|yes
16,A,Yeah.,A|Yeah.
17,M,,M|
18,A,"I just like I just finished watching that a few minutes ago, Um, and it and, that, that's a interesting one. I, I, I like that, because there's, there are , I've noticed that every, every major station now has their own law show. There's L A LAW, and there's, um, EQUAL JUSTICE, some other one, LAW AND ORDER or something. Do you like the law shows or,","A|I just like I just finished watching that a few minutes ago, Um, and it and, that, that's a interesting one. I, I, I like that, because there's, there are , I've noticed that every, every major station now has their own law show. There's L A LAW, and there's, um, EQUAL JUSTICE, some other one, LAW AND ORDER or something. Do you like the law shows or,"
19,M,,M|
20,A,"That, that makes logic ,","A|That, that makes logic ,"
21,M,"That, and you, and, and...","M|That, and you, and, and..."
22,A,also saves a lot of time with commercials.,A|also saves a lot of time with commercials.
23,M,I mean you.,M|I mean you.
24,A,"Oh, I have. I've, I've, I watched that late, um, I guess it's on late Saturday nights or something,","A|Oh, I have. I've, I've, I watched that late, um, I guess it's on late Saturday nights or something,"
25,M,I have. It's just that it's not on TV.,M|I have. It's just that it's not on TV.
26,A,that's entering the day as well.,A|that's entering the day as well.
27,M,I think it's going to be on in the middle of the night.,M|I think it's going to be on in the middle of the night.
28,A,"Have you, have, have you seen this often?","A|Have you, have, have you seen this often?"
29,M,"Have, have you?","M|Have, have you?"
30,A,"Oh, really?","A|Oh, really?"
31,M,you tape it,M|you tape it
32,A,Yeah.,A|Yeah.
33,M,I'm gonna say it,M|I'm gonna say it
34,A,"Really? I,","A|Really? I,"
35,M,"It's the only song I have in my playlist, it's a little sad.","M|It's the only song I have in my playlist, it's a little sad."
36,A,"That don't, it , it, it seems like, I mean, if wrestling is prime time, professional wrestling, it seems like it's just, just, just like pros in a wrestling to me, I don't, I don't see any difference though,","A|That don't, it , it, it seems like, I mean, if wrestling is prime time, professional wrestling, it seems like it's just, just, just like pros in a wrestling to me, I don't, I don't see any difference though,"
37,M,"I don't,","M|I don't,"
38,A,"I, I don't understand it, they consider it violent. I have so ever , I have seen it on, where we are , I live in, uh , Rochester, New York, and I think a,","A|I, I don't understand it, they consider it violent. I have so ever , I have seen it on, where we are , I live in, uh , Rochester, New York, and I think a,"
39,M,What do you not,M|What do you not
40,A,Yes.,A|Yes.
