,Speaker,Utterance,Unified
5,B,Yes. Yes.,B|Yes. Yes.
6,M,"Well, that's good.","M|Well, that's good."
7,B,"Yes, well, they were, they really wanted something teeny tiny, and I, uh, really wanted that retriever's disposition. Uh, the ultimate to tolerant, trainable disposition,","B|Yes, well, they were, they really wanted something teeny tiny, and I, uh, really wanted that retriever's disposition. Uh, the ultimate to tolerant, trainable disposition,"
8,M,Uh-huh.,M|Uh-huh.
9,B,so I called four or five dog trainers because I don't like the little dogs.,B|so I called four or five dog trainers because I don't like the little dogs.
10,M,Uh-huh.,M|Uh-huh.
11,B,"And, and I asked them, you know, these are the ages of the kids, what do I get. And they all said, Golden Retriever and I said okay, put it under twenty pounds. And the only thing that they could come up with was a Bichon Frize which is a,","B|And, and I asked them, you know, these are the ages of the kids, what do I get. And they all said, Golden Retriever and I said okay, put it under twenty pounds. And the only thing that they could come up with was a Bichon Frize which is a,"
12,M,"Uh, yeah.","M|Uh, yeah."
13,B,Do you know what that is?,B|Do you know what that is?
14,M,No.,M|No.
15,B,"They're cute. They look like an air headed let me tell you. They're calm, they're not yuppie , they're trainable, they're, uh, very personable in a different way that a Golden Retriever is. They're not dignified like a retriever can be.","B|They're cute. They look like an air headed let me tell you. They're calm, they're not yuppie , they're trainable, they're, uh, very personable in a different way that a Golden Retriever is. They're not dignified like a retriever can be."
16,M,Uh-huh.,M|Uh-huh.
17,B,Yeah. So how old is your retriever?,B|Yeah. So how old is your retriever?
18,M,"She's about eleven weeks now, but she's still a little puppy.","M|She's about eleven weeks now, but she's still a little puppy."
19,B,"Well, actually, you know, that's the breed standard for females. What you,","B|Well, actually, you know, that's the breed standard for females. What you,"
20,M,!!!%!!;!! RemindMe!!And they're a purebred?,M|!!!%!!;!! RemindMe!!And they're a purebred?
21,B,"yeah, what you see shown and bred now as Golden Retrievers, this, you know, plus eighty to a hundred pound range.","B|yeah, what you see shown and bred now as Golden Retrievers, this, you know, plus eighty to a hundred pound range."
22,M,Oh.,M|Oh.
23,B,That is not breed standard.,B|That is not breed standard.
24,M,!!!%!! Remind me. That is not a breed.,M|!!!%!! Remind me. That is not a breed.
