,Speaker,Utterance,Unified
5,B,You were?,B|You were?
6,M,"and I was, I was very protective and, uh, and, you know, I would always, I'd tell my kids, you can't do this to me. You can't make me do this. You know.","M|and I was, I was very protective and, uh, and, you know, I would always, I'd tell my kids, you can't do this to me. You can't make me do this. You know."
7,B,Uh-huh. Uh-huh.,B|Uh-huh. Uh-huh.
8,M,It's a complete opposite.,M|It's a complete opposite.
9,B,"Yeah. Yeah, yeah. From what I understand, they act up pretty bad","B|Yeah. Yeah, yeah. From what I understand, they act up pretty bad"
10,M,"Uh,","M|Uh,"
11,B,"What, uh, grade is your daughter in?","B|What, uh, grade is your daughter in?"
12,M,She's in seventh grade.,M|She's in seventh grade.
13,B,"Uh-huh, uh-huh.","B|Uh-huh, uh-huh."
14,M,"and, uh.","M|and, uh."
15,B,"Uh-huh, uh-huh. Yeah.","B|Uh-huh, uh-huh. Yeah."
16,M,"or, you know, it's not just a problem with the school system, it, it has to do with the, with the society as a whole, um.","M|or, you know, it's not just a problem with the school system, it, it has to do with the, with the society as a whole, um."
17,B,"Oh, no, uh-huh. They always had a paddle in our school.","B|Oh, no, uh-huh. They always had a paddle in our school."
18,M,Yeah.,M|Yeah.
19,B,I know.,B|I know.
20,M,So.,M|So.
21,B,"Uh-huh. Yeah, yeah.","B|Uh-huh. Yeah, yeah."
22,M,"So, I don't know, it's, it seems like there's so much more pressure to, to do more and more of the things that aren't good and I donno.","M|So, I don't know, it's, it seems like there's so much more pressure to, to do more and more of the things that aren't good and I donno."
23,B,"Uh-huh, uh-huh. Uh-huh.","B|Uh-huh, uh-huh. Uh-huh."
24,M,"I don't know. I, I, you know, I just, I don't think I'm, I'm satisfied with what I'm getting.","M|I don't know. I, I, you know, I just, I don't think I'm, I'm satisfied with what I'm getting."
25,B,"Yeah. Wasn't that what part of the lottery is going to go for, if we approve it?","B|Yeah. Wasn't that what part of the lottery is going to go for, if we approve it?"
26,M,"Yeah, that's what they were saying.","M|Yeah, that's what they were saying."
27,B,Uh-huh.,B|Uh-huh.
28,M,"But, uh, I don't know. I donno.","M|But, uh, I don't know. I donno."
29,B,Uh-huh.,B|Uh-huh.
30,M,"Um, you know I think it's just a, it's a bigger risk than it is worth.","M|Um, you know I think it's just a, it's a bigger risk than it is worth."
31,B,Uh-huh. No. Really?,B|Uh-huh. No. Really?
32,M,"and they just go out and, you know, they just, they're, they go out to the corner store and, and, I mean, they, they do this in the middle of the night,","M|and they just go out and, you know, they just, they're, they go out to the corner store and, and, I mean, they, they do this in the middle of the night,"
33,B,Ooh.,B|Ooh.
34,M,"and, uh.","M|and, uh."
35,B,Uh-huh.,B|Uh-huh.
36,M,and they can be unbelievable.,M|and they can be unbelievable.
37,B,Uh-huh. Um.,B|Uh-huh. Um.
38,M,"And I, I think that's the only thing that I see changing in the, in the school system.","M|And I, I think that's the only thing that I see changing in the, in the school system."
39,B,"Oh, I do too, I think they're doing real good job.","B|Oh, I do too, I think they're doing real good job."
40,M,"Yeah, they're trying to,","M|Yeah, they're trying to,"
41,B,"But, then, what do I know, I don't have any kids. No, none at all","B|But, then, what do I know, I don't have any kids. No, none at all"
42,M,Oh.,M|Oh.
43,B,"Oh, yeah","B|Oh, yeah"
44,M,Yeah.,M|Yeah.
45,B,Okay.,B|Okay.
46,M,"Um, and I will, I will cut it off.","M|Um, and I will, I will cut it off."
47,B,"Well, it was good talking to you too.","B|Well, it was good talking to you too."
48,M,Bye-bye.,M|Bye-bye.
49,B,"We'll see you, bye-bye.","B|We'll see you, bye-bye."
50,M,Bye-bye,M|Bye-bye
