,Speaker,Utterance,Unified
5,B,"Um,","B|Um,"
6,M,"And, uh,","M|And, uh,"
7,B,Uh-huh.,B|Uh-huh.
8,M,"But, uh.","M|But, uh."
9,B,"Oh, which state is that?","B|Oh, which state is that?"
10,M,That's Alaska.,M|That's Alaska.
11,B,Uh-huh.,B|Uh-huh.
12,M,"And, uh, so I, I was real disappointed in it. I thought it was a really good movie, but I thought they were trying too hard to go all the way.","M|And, uh, so I, I was real disappointed in it. I thought it was a really good movie, but I thought they were trying too hard to go all the way."
13,B,Uh-huh.,B|Uh-huh.
14,M,"and, uh.","M|and, uh."
15,B,Right. Right.,B|Right. Right.
16,M,"And, uh.","M|And, uh."
17,B,Yep. Right.,B|Yep. Right.
18,M,"Uh, I mean, it's, it was a little, uh little over a hundred dollars over two years.","M|Uh, I mean, it's, it was a little, uh little over a hundred dollars over two years."
19,B,Yeah.,B|Yeah.
20,M,"but it's just a, it's not a very good idea.","M|but it's just a, it's not a very good idea."
21,B,Yeah. Definitely I think that there's probably a lot of waste in defense and in government funded research in the first place.,B|Yeah. Definitely I think that there's probably a lot of waste in defense and in government funded research in the first place.
22,M,"Yeah, and I don't know, I, I don tinker with it too much, but I, uh I, it's, it seems to me that there is a, a tremendous amount of waste.","M|Yeah, and I don't know, I, I don tinker with it too much, but I, uh I, it's, it seems to me that there is a, a tremendous amount of waste."
23,B,"I mean there was, um, people at Stanford who were soaking the government, you know, using millions of dollars of research money to, uh, for the President to buy beach homes or whatever it was.","B|I mean there was, um, people at Stanford who were soaking the government, you know, using millions of dollars of research money to, uh, for the President to buy beach homes or whatever it was."
24,M,Right.,M|Right.
25,B,"And I think that, that maybe more widespread than well, than we'd like to have think.","B|And I think that, that maybe more widespread than well, than we'd like to have think."
26,M,Yeah.,M|Yeah.
27,B,"But, but then it's something that's hard to enforce too I'm sure.","B|But, but then it's something that's hard to enforce too I'm sure."
28,M,Yeah.,M|Yeah.
29,B,Uh-huh.,B|Uh-huh.
30,M,"And, uh.","M|And, uh."
31,B,Right.,B|Right.
32,M,"So, I don't know, it's, it seems to me that, that, uh.","M|So, I don't know, it's, it seems to me that, that, uh."
33,B,Uh-huh.,B|Uh-huh.
34,M,"but, uh, I'm not really sure that, uh.","M|but, uh, I'm not really sure that, uh."
35,B,"Well, that's right. Uh, I think that, oh, politicians talk a lot about waste","B|Well, that's right. Uh, I think that, oh, politicians talk a lot about waste"
36,M,"Uh,","M|Uh,"
37,B,but I'm not sure that that's really that much of the problem.,B|but I'm not sure that that's really that much of the problem.
38,M,"I don't know what, what, uh.","M|I don't know what, what, uh."
39,B,"I mean when you look at something like the Gulf War it cost us God knows how much. You know, at a million dollars, a pop for patriot missiles.","B|I mean when you look at something like the Gulf War it cost us God knows how much. You know, at a million dollars, a pop for patriot missiles."
40,M,Yeah.,M|Yeah.
41,B,Yeah.,B|Yeah.
42,M,but I don think it's really been a great help at all.,M|but I don think it's really been a great help at all.
43,B,Right. Uh-huh.,B|Right. Uh-huh.
44,M,"And, uh.","M|And, uh."
45,B,Uh-huh. Right.,B|Uh-huh. Right.
46,M,"I think that, um.","M|I think that, um."
47,B,Okay All right. You too.,B|Okay All right. You too.
48,M,!!!%!! Remind me.!!!!!That's a song by Kenny G.,M|!!!%!! Remind me.!!!!!That's a song by Kenny G.
49,B,Bye-bye.,B|Bye-bye.
50,M,!!!%!! Remind me.,M|!!!%!! Remind me.
