,Speaker,Utterance,Unified
5,f,yeah,f|yeah
6,M,yeah but they're a bit too far away,M|yeah but they're a bit too far away
7,f,my left or the paper's left towards the banana tree,f|my left or the paper's left towards the banana tree
8,M,my banana tree.,M|my banana tree.
9,f,well my left yeah paper left uh-huh right,f|well my left yeah paper left uh-huh right
10,M,no it's not,M|no it's not
11,f,right,f|right
12,M,left and right,M|left and right
13,f,okey-dokey,f|okey-dokey
14,M,o u,M|o u
15,f,right,f|right
16,M,Go east,M|Go east
17,f,mm okey-dokey,f|mm okey-dokey
18,M,"You can't go north of the river, you can only go south.","M|You can't go north of the river, you can only go south."
19,f,right,f|right
20,M,now go west and go east,M|now go west and go east
21,f,just north of the banana tree yeah,f|just north of the banana tree yeah
22,M,did you get to the footbridge?,M|did you get to the footbridge?
23,f,mmhmm,f|mmhmm
24,M,"just east of the level, east of a level.","M|just east of the level, east of a level."
25,f,mmhmm,f|mmhmm
26,M,yeah i just saw that,M|yeah i just saw that
27,f,no not at all,f|no not at all
28,M,you want to try a bit of poison?,M|you want to try a bit of poison?
29,f,right,f|right
30,M,"yes, you have the right path","M|yes, you have the right path"
31,f,mmhmm,f|mmhmm
32,M,"i did, i just left and came back","M|i did, i just left and came back"
33,f,yes,f|yes
34,M,and u have to go to the old temple first,M|and u have to go to the old temple first
35,f,mmhmm,f|mmhmm
36,M,you know you can get a lot of stuff from the same place you get a certain item in the same spot,M|you know you can get a lot of stuff from the same place you get a certain item in the same spot
37,f,rightee-ho,f|rightee-ho
38,M,oh right,M|oh right
39,f,nothing up until a poisoned stream,f|nothing up until a poisoned stream
40,M,upvote for your name,M|upvote for your name
41,f,what way to the left of it,f|what way to the left of it
42,M,where is the road up to the top of the mountain,M|where is the road up to the top of the mountain
43,f,yeah,f|yeah
44,M,did you try going up?,M|did you try going up?
45,f,eh slate mountain,f|eh slate mountain
46,M,What's the old one?,M|What's the old one?
47,f,mmhmm,f|mmhmm
48,M,i have a tmnt,M|i have a tmnt
49,f,right,f|right
50,M,he's going to the temple,M|he's going to the temple
51,f,mmhmm,f|mmhmm
52,M,"so you want a nice, long winded, very detailed description of the map?","M|so you want a nice, long winded, very detailed description of the map?"
53,f,up past the truck and the mountain,f|up past the truck and the mountain
54,M,"up the truck, up the mountain, up past the tank","M|up the truck, up the mountain, up past the tank"
55,f,right,f|right
56,M,it's the truck,M|it's the truck
57,f,right,f|right
58,M,right.,M|right.
59,f,mmhmm,f|mmhmm
60,M,I can't wait to see this in action,M|I can't wait to see this in action
61,f,right,f|right
62,M,Until you're right next to the,M|Until you're right next to the
63,f,no,f|no
64,M,now you have me imagining you being a child,M|now you have me imagining you being a child
65,f,yeah,f|yeah
66,M,still there?,M|still there?
67,f,mmhmm,f|mmhmm
68,M,that's a little far,M|that's a little far
69,f,right,f|right
70,M,right and then,M|right and then
71,f,yes uh-huh,f|yes uh-huh
72,M,I'm not a big fan of the word'uh '.,M|I'm not a big fan of the word'uh '.
73,f,mmhmm,f|mmhmm
74,M,you can't see it,M|you can't see it
75,f,right,f|right
76,M,it is,M|it is
77,f,mmhmm,f|mmhmm
78,M,Mmm go up,M|Mmm go up
79,f,up past the lemon grove,f|up past the lemon grove
80,M,but where is the mountain?,M|but where is the mountain?
81,f,right,f|right
82,M,you're not wrong,M|you're not wrong
83,f,mmhmm,f|mmhmm
84,M,right where we want them,M|right where we want them
85,f,mmhmm,f|mmhmm
86,M,so where are you going,M|so where are you going
87,f,will we walk to the top of it,f|will we walk to the top of it
88,M,i will walk to it,M|i will walk to it
89,f,right,f|right
90,M,and the top is a little bit higher,M|and the top is a little bit higher
91,f,okey-dokey,f|okey-dokey
92,M,I'm so high right now,M|I'm so high right now
93,f,yeah,f|yeah
94,M,You can also just use a rope and some rope,M|You can also just use a rope and some rope
95,f,no,f|no
96,M,do you have the original map?,M|do you have the original map?
97,f,directly below it,f|directly below it
98,M,i think theres a hole there,M|i think theres a hole there
99,f,right so it'll be mmhmm,f|right so it'll be mmhmm
100,M,yeah it's the last one,M|yeah it's the last one
101,f,right,f|right
102,M,but how,M|but how
103,f,right,f|right
104,M,right until you get to the end of the line,M|right until you get to the end of the line
105,f,right,f|right
106,M,i mean you could always do it to south,M|i mean you could always do it to south
107,f,mmhmm,f|mmhmm
108,M,it is a problem,M|it is a problem
109,f,yeah,f|yeah
110,M,so just to the nearest village?,M|so just to the nearest village?
111,f,right,f|right
112,M,about a centimeter,M|about a centimeter
113,f,mmhmm,f|mmhmm
114,M,"so, you want me to do it then?","M|so, you want me to do it then?"
115,f,"the ""e"" in remote","f|the ""e"" in remote"
116,M,in remote,M|in remote
117,f,"""e"" in village right","f|""e"" in village right"
118,M,in remote village,M|in remote village
119,f,okey-dokey there we go have i missed anything,f|okey-dokey there we go have i missed anything
