A:	yeah. well dogs are real high maintenances you got to take them for walks and you've got to pay a lot you know you need to pay attention to cats and everything but it's not quite the same thing.
M:	they...
A:	yeah.
M:	i think so.you do.you feel very happy.you are.full of.yourself.for.the.full.time.you are.alone.you have a nice.life.you deserve.it.you owe.it to.it.
A:	and with all the see i've got on the south side is all glass. well as much as i could get in it you know. and uh the east side is glass.
M:	
A:	oh yeah they do.
M:	i wonder how many of them are from arkansas
A:	oh.
M:	well we're going on a hunt.
A:	uh-huh. uh-huh.
M:	i feel like i can go back to sleep.
A:	and not being you know
M:	uhh that's a very good point.
