,response,context,context/0,context/1,context/2,context/3
0,uh-huh,yes that's something like the top of the caravan park you're facing up to top of the map,my left,turning to your left then left again,aye,eh starting at the top of the caravan park
1,you turn left,uh-huh,yes that's something like the top of the caravan park you're facing up to top of the map,my left,turning to your left then left again,aye
2,uh-huh,you turn left,uh-huh,yes that's something like the top of the caravan park you're facing up to top of the map,my left,turning to your left then left again
3,then left again so you're coming down the side of the caravan park,uh-huh,you turn left,uh-huh,yes that's something like the top of the caravan park you're facing up to top of the map,my left
4,right,then left again so you're coming down the side of the caravan park,uh-huh,you turn left,uh-huh,yes that's something like the top of the caravan park you're facing up to top of the map
5,keep going down,right,then left again so you're coming down the side of the caravan park,uh-huh,you turn left,uh-huh
6,mmhmm,keep going down,right,then left again so you're coming down the side of the caravan park,uh-huh,you turn left
7,then you turn left go,mmhmm,keep going down,right,then left again so you're coming down the side of the caravan park,uh-huh
8,aye i'm going back down south,then you turn left go,mmhmm,keep going down,right,then left again so you're coming down the side of the caravan park
9,you're coming you're coming back you're coming down the map so you're turning left that's into that's into the map,aye i'm going back down south,then you turn left go,mmhmm,keep going down,right
10,aye aye right,you're coming you're coming back you're coming down the map so you're turning left that's into that's into the map,aye i'm going back down south,then you turn left go,mmhmm,keep going down
11,okay you got that,aye aye right,you're coming you're coming back you're coming down the map so you're turning left that's into that's into the map,aye i'm going back down south,then you turn left go,mmhmm
12,uh-huh,okay you got that,aye aye right,you're coming you're coming back you're coming down the map so you're turning left that's into that's into the map,aye i'm going back down south,then you turn left go
13,you're going along and you're turning left again,uh-huh,okay you got that,aye aye right,you're coming you're coming back you're coming down the map so you're turning left that's into that's into the map,aye i'm going back down south
14,right well stop now,you're going along and you're turning left again,uh-huh,okay you got that,aye aye right,you're coming you're coming back you're coming down the map so you're turning left that's into that's into the map
15,okay,right well stop now,you're going along and you're turning left again,uh-huh,okay you got that,aye aye right
16,right so out the caravan park,okay,right well stop now,you're going along and you're turning left again,uh-huh,okay you got that
17,ah out the top of the caravan park,right so out the caravan park,okay,right well stop now,you're going along and you're turning left again,uh-huh
18,right go left then left again,ah out the top of the caravan park,right so out the caravan park,okay,right well stop now,you're going along and you're turning left again
19,then so you're coming down the side of the caravan park,right go left then left again,ah out the top of the caravan park,right so out the caravan park,okay,right well stop now
20,right now is there anything i should be watching for,then so you're coming down the side of the caravan park,right go left then left again,ah out the top of the caravan park,right so out the caravan park,okay
21,not not to the if you come have you come down past the caravan park,right now is there anything i should be watching for,then so you're coming down the side of the caravan park,right go left then left again,ah out the top of the caravan park,right so out the caravan park
22,aye,not not to the if you come have you come down past the caravan park,right now is there anything i should be watching for,then so you're coming down the side of the caravan park,right go left then left again,ah out the top of the caravan park
23,you turn left,aye,not not to the if you come have you come down past the caravan park,right now is there anything i should be watching for,then so you're coming down the side of the caravan park,right go left then left again
24,immediately past the caravan park,you turn left,aye,not not to the if you come have you come down past the caravan park,right now is there anything i should be watching for,then so you're coming down the side of the caravan park
25,no come down and turn left,immediately past the caravan park,you turn left,aye,not not to the if you come have you come down past the caravan park,right now is there anything i should be watching for
26,uh-huh,no come down and turn left,immediately past the caravan park,you turn left,aye,not not to the if you come have you come down past the caravan park
27,then you go along,uh-huh,no come down and turn left,immediately past the caravan park,you turn left,aye
28,right,then you go along,uh-huh,no come down and turn left,immediately past the caravan park,you turn left
29,turn left again,right,then you go along,uh-huh,no come down and turn left,immediately past the caravan park
30,i don't go to the bottom of the map,turn left again,right,then you go along,uh-huh,no come down and turn left
31,no you don't go to the bottom of the map,i don't go to the bottom of the map,turn left again,right,then you go along,uh-huh
32,right uh-huh,no you don't go to the bottom of the map,i don't go to the bottom of the map,turn left again,right,then you go along
33,turn left so that's two turns left after you come out the caravan park,right uh-huh,no you don't go to the bottom of the map,i don't go to the bottom of the map,turn left again,right
34,left come out turn left then turn left again and get to the bottom then turn left again,turn left so that's two turns left after you come out the caravan park,right uh-huh,no you don't go to the bottom of the map,i don't go to the bottom of the map,turn left again
35,yeah,left come out turn left then turn left again and get to the bottom then turn left again,turn left so that's two turns left after you come out the caravan park,right uh-huh,no you don't go to the bottom of the map,i don't go to the bottom of the map
36,right,yeah,left come out turn left then turn left again and get to the bottom then turn left again,turn left so that's two turns left after you come out the caravan park,right uh-huh,no you don't go to the bottom of the map
37,and left back up into the map,right,yeah,left come out turn left then turn left again and get to the bottom then turn left again,turn left so that's two turns left after you come out the caravan park,right uh-huh
38,how how how,and left back up into the map,right,yeah,left come out turn left then turn left again and get to the bottom then turn left again,turn left so that's two turns left after you come out the caravan park
39,be careful for the old mill you'll see it it should be on your right-hand side,how how how,and left back up into the map,right,yeah,left come out turn left then turn left again and get to the bottom then turn left again
40,right,be careful for the old mill you'll see it it should be on your right-hand side,how how how,and left back up into the map,right,yeah
41,you go up past the the old mill keeping the old mill on your right-hand side okay you got eh you at the old mill yet,right,be careful for the old mill you'll see it it should be on your right-hand side,how how how,and left back up into the map,right
42,aye i'm by the old mill,you go up past the the old mill keeping the old mill on your right-hand side okay you got eh you at the old mill yet,right,be careful for the old mill you'll see it it should be on your right-hand side,how how how,and left back up into the map
43,right turn round the old turn to the right after the old mill,aye i'm by the old mill,you go up past the the old mill keeping the old mill on your right-hand side okay you got eh you at the old mill yet,right,be careful for the old mill you'll see it it should be on your right-hand side,how how how
44,the right,right turn round the old turn to the right after the old mill,aye i'm by the old mill,you go up past the the old mill keeping the old mill on your right-hand side okay you got eh you at the old mill yet,right,be careful for the old mill you'll see it it should be on your right-hand side
45,yeah to the right after the old mill,the right,right turn round the old turn to the right after the old mill,aye i'm by the old mill,you go up past the the old mill keeping the old mill on your right-hand side okay you got eh you at the old mill yet,right
46,right,yeah to the right after the old mill,the right,right turn round the old turn to the right after the old mill,aye i'm by the old mill,you go up past the the old mill keeping the old mill on your right-hand side okay you got eh you at the old mill yet
47,that's you going across to the other side of the map,right,yeah to the right after the old mill,the right,right turn round the old turn to the right after the old mill,aye i'm by the old mill
48,uh-huh,that's you going across to the other side of the map,right,yeah to the right after the old mill,the right,right turn round the old turn to the right after the old mill
49,keep going,uh-huh,that's you going across to the other side of the map,right,yeah to the right after the old mill,the right
50,uh-huh,keep going,uh-huh,that's you going across to the other side of the map,right,yeah to the right after the old mill
51,now you should come to a fenced meadow on your right,uh-huh,keep going,uh-huh,that's you going across to the other side of the map,right
52,aye,now you should come to a fenced meadow on your right,uh-huh,keep going,uh-huh,that's you going across to the other side of the map
53,well you turn left so you're going up the map again,aye,now you should come to a fenced meadow on your right,uh-huh,keep going,uh-huh
54,right up the map,well you turn left so you're going up the map again,aye,now you should come to a fenced meadow on your right,uh-huh,keep going
55,up the map you'll then come to an abandoned cottage it should be on your left-hand side,right up the map,well you turn left so you're going up the map again,aye,now you should come to a fenced meadow on your right,uh-huh
56,uh i'm nowhere near it,up the map you'll then come to an abandoned cottage it should be on your left-hand side,right up the map,well you turn left so you're going up the map again,aye,now you should come to a fenced meadow on your right
57,well never mind you should be on the left-hand side of it but it should be on your left-hand side,uh i'm nowhere near it,up the map you'll then come to an abandoned cottage it should be on your left-hand side,right up the map,well you turn left so you're going up the map again,aye
58,ah but there's something in the road,well never mind you should be on the left-hand side of it but it should be on your left-hand side,uh i'm nowhere near it,up the map you'll then come to an abandoned cottage it should be on your left-hand side,right up the map,well you turn left so you're going up the map again
59,is there,ah but there's something in the road,well never mind you should be on the left-hand side of it but it should be on your left-hand side,uh i'm nowhere near it,up the map you'll then come to an abandoned cottage it should be on your left-hand side,right up the map
60,aye,is there,ah but there's something in the road,well never mind you should be on the left-hand side of it but it should be on your left-hand side,uh i'm nowhere near it,up the map you'll then come to an abandoned cottage it should be on your left-hand side
61,what,aye,is there,ah but there's something in the road,well never mind you should be on the left-hand side of it but it should be on your left-hand side,uh i'm nowhere near it
62,a forest,what,aye,is there,ah but there's something in the road,well never mind you should be on the left-hand side of it but it should be on your left-hand side
63,is there,a forest,what,aye,is there,ah but there's something in the road
64,aye but but the,is there,a forest,what,aye,is there
65,i think you're on the wrong one,aye but but the,is there,a forest,what,aye
66,the maps have been drawn by different explorers,i think you're on the wrong one,aye but but the,is there,a forest,what
