,Speaker,Utterance,Unified
5,M,And I think they ought to test just about anybody any time they see fit.,M|And I think they ought to test just about anybody any time they see fit.
6,A,"Well, how do you, how do you feel about, uh, companies drug testing prior to hiring?","A|Well, how do you, how do you feel about, uh, companies drug testing prior to hiring?"
7,M,"Uh, I think it's a pretty good idea. I think they ought to test at, before they hire.","M|Uh, I think it's a pretty good idea. I think they ought to test at, before they hire."
8,A,Uh-huh.,A|Uh-huh.
9,M,and I think they should do it everywhere.,M|and I think they should do it everywhere.
10,A,Uh-huh.,A|Uh-huh.
11,M,"And I don, I don'y know how I feel about that.","M|And I don, I don'y know how I feel about that."
12,A,"Well, what about random testing, though.","A|Well, what about random testing, though."
13,M,!!!;!!%!! Remind me of that.,M|!!!;!!%!! Remind me of that.
14,A,Do you feel like that's an invasion of certain people's rights if not everyone is tested?,A|Do you feel like that's an invasion of certain people's rights if not everyone is tested?
15,M,"I don't know. I mean, I don't, I, I think that's, that's the whole thing. I don tinker around with it, you know, I'm not that good at it,","M|I don't know. I mean, I don't, I, I think that's, that's the whole thing. I don tinker around with it, you know, I'm not that good at it,"
16,A,"I don't know that you do. If it's random, then it's random","A|I don't know that you do. If it's random, then it's random"
17,M,Uh-huh.,M|Uh-huh.
18,A,and that's not necessarily fair.,A|and that's not necessarily fair.
19,M,!!!%!! RemindMe!!eting!!,M|!!!%!! RemindMe!!eting!!
20,A,Uh-huh.,A|Uh-huh.
21,M,"But, uh,","M|But, uh,"
22,A,"Yeah. Well, I I know that, for instance, in the N C double A, they drug test and it's not random.","A|Yeah. Well, I I know that, for instance, in the N C double A, they drug test and it's not random."
23,M,Right.,M|Right.
24,A,"Uh, well, I think all college players have to do an initial drug test at a certain point prior to the season","A|Uh, well, I think all college players have to do an initial drug test at a certain point prior to the season"
25,M,Uh-oh.,M|Uh-oh.
26,A,"and from that point on, uh, at, the N C double A does have something to do with it, but it's almost discretionary on the coach's part of each individual institution to identify the ones that have the problem.","A|and from that point on, uh, at, the N C double A does have something to do with it, but it's almost discretionary on the coach's part of each individual institution to identify the ones that have the problem."
27,M,Right.,M|Right.
28,A,"And, and the ones that test positive have to retest after a certain period of time.","A|And, and the ones that test positive have to retest after a certain period of time."
29,M,"Uh, I guess that's a little more stringent.","M|Uh, I guess that's a little more stringent."
30,A,"Well, not being a drug user I don't have a problem with that personally","A|Well, not being a drug user I don't have a problem with that personally"
31,M,Uh-huh.,M|Uh-huh.
32,A,but I think that might be a violation of someone's rights. If someone's having personal problems for some reason that's causing them to behave differently,A|but I think that might be a violation of someone's rights. If someone's having personal problems for some reason that's causing them to behave differently
33,M,"Right, uh-huh.","M|Right, uh-huh."
34,A,"and their manager assumes they have a drug problem I mean if someone assumed that of me, I would be upset.","A|and their manager assumes they have a drug problem I mean if someone assumed that of me, I would be upset."
35,M,"Right, yeah.","M|Right, yeah."
36,A,"It's an accusation, and, and it's and it's based on, on a perception that someone has as how a drug user would behave when some drug users behave, uh, normal, uh, you know.","A|It's an accusation, and, and it's and it's based on, on a perception that someone has as how a drug user would behave when some drug users behave, uh, normal, uh, you know."
37,M,Uh-huh. Uh-hue.,M|Uh-huh. Uh-hue.
38,A,"Right, exactly. I, I don't, the, I think almost the only way that drug testing can be done fairly is if it's across the board from, from the janitors to the executive management.","A|Right, exactly. I, I don't, the, I think almost the only way that drug testing can be done fairly is if it's across the board from, from the janitors to the executive management."
39,M,Exactly.,M|Exactly.
40,A,What type of job do you have?,A|What type of job do you have?
41,M,I'm an Avon representative.,M|I'm an Avon representative.
42,A,Uh-huh.,A|Uh-huh.
43,M,"and, uh, so I, uh I'm, I work for the government, and so I'm involved in, uh uh, oh, the clean air program, and I work in, in the national parks, and, uh so I've, I, and the reason I, you know, I feel that way is because, uh because the, the problem with the air pollution is that we don't have a, a good, uh system of, uh testing and so we, we don tinker with it, uh.","M|and, uh, so I, uh I'm, I work for the government, and so I'm involved in, uh uh, oh, the clean air program, and I work in, in the national parks, and, uh so I've, I, and the reason I, you know, I feel that way is because, uh because the, the problem with the air pollution is that we don't have a, a good, uh system of, uh testing and so we, we don tinker with it, uh."
44,A,"Well, does your does your job require you to drive company equipment or to operate any type of machinery that might endanger someone?","A|Well, does your does your job require you to drive company equipment or to operate any type of machinery that might endanger someone?"
45,M,"Uh, well, it's, it, it depends on the job. I mean, uh, I mean I, I can work in the automotive air bag industry, and I've, I worked in the transportation industry for nineteen years.","M|Uh, well, it's, it, it depends on the job. I mean, uh, I mean I, I can work in the automotive air bag industry, and I've, I worked in the transportation industry for nineteen years."
46,A,"Well, that doesn't, I mean I ...","A|Well, that doesn't, I mean I ..."
47,M,"I, I think they should have more control over what they do.","M|I, I think they should have more control over what they do."
48,A,Uh-huh.,A|Uh-huh.
49,M,"but, you can't do that.","M|but, you can't do that."
50,A,"That is odd. I was drug tested, uh, not for the job I have now, but for the prior job, uh, but I know that they sent, that the job I had before, that, well, the job I have, have now, requested my, uh, uh, my, uh, medical record from my old company","A|That is odd. I was drug tested, uh, not for the job I have now, but for the prior job, uh, but I know that they sent, that the job I had before, that, well, the job I have, have now, requested my, uh, uh, my, uh, medical record from my old company"
51,M,"Uh, uh-hue.","M|Uh, uh-hue."
52,A,"so I don't know if I wasn't drug tested based on that or because the man who hired me didn't request the drug test, because I know that my company does drug testing on occasion.","A|so I don't know if I wasn't drug tested based on that or because the man who hired me didn't request the drug test, because I know that my company does drug testing on occasion."
53,M,"Uh-uh. Oh, that's, that is,","M|Uh-uh. Oh, that's, that is,"
54,A,"Well, no, I don't think they can, they can force another company to not drug test me just by saying that I, I didn't, I mean,","A|Well, no, I don't think they can, they can force another company to not drug test me just by saying that I, I didn't, I mean,"
55,M,Uh-hope.,M|Uh-hope.
56,A,they don't know that I don't use drugs. They just tested me once.,A|they don't know that I don't use drugs. They just tested me once.
57,M,"Yeah, I,","M|Yeah, I,"
58,A,"But, I used to work for a power company, so it was very important that they make sure their employees, especially linemen uh, were clean.","A|But, I used to work for a power company, so it was very important that they make sure their employees, especially linemen uh, were clean."
59,M,"Yeah, yeah.","M|Yeah, yeah."
60,A,"And since I was just, you know, one of the office folk, I guess it wasn't as important to them that they test me regularly. But I know they test most of the service people fairly regularly uh, just across the board.","A|And since I was just, you know, one of the office folk, I guess it wasn't as important to them that they test me regularly. But I know they test most of the service people fairly regularly uh, just across the board."
61,M,Yeah.,M|Yeah.
62,A,"No, they're, all of them are tested once every three","A|No, they're, all of them are tested once every three"
63,M,"Oh, okay.","M|Oh, okay."
64,A,it's a rotation.,A|it's a rotation.
65,M,That's right.,M|That's right.
66,A,"But it, but again, it depends on what job you're in.","A|But it, but again, it depends on what job you're in."
67,M,Uh-huh.,M|Uh-huh.
68,A,"The men that are out there fixing power lines are tested a lot and the men that drive the trucks with, with the guys that fix the power lines aren't tested as much.","A|The men that are out there fixing power lines are tested a lot and the men that drive the trucks with, with the guys that fix the power lines aren't tested as much."
69,M,Right.,M|Right.
70,A,"But, but see, they make that clear to them as they hire those guys what, what the drug testing schedule is.","A|But, but see, they make that clear to them as they hire those guys what, what the drug testing schedule is."
71,M,Right.,M|Right.
72,A,"They say we, we're testing you tomorrow and we'll test you every three months thereafter while you work here.","A|They say we, we're testing you tomorrow and we'll test you every three months thereafter while you work here."
73,M,Yeah.,M|Yeah.
74,A,"Yeah, it's, it's made very clear upon hiring.","A|Yeah, it's, it's made very clear upon hiring."
75,M,I know.,M|I know.
76,A,"Well, have we spent our at least five minutes?","A|Well, have we spent our at least five minutes?"
77,M,"I beg your,","M|I beg your,"
78,A,Okay.,A|Okay.
79,M,"Okay, well, I guess that's about all I've done so far.","M|Okay, well, I guess that's about all I've done so far."
80,A,Okay.,A|Okay.
81,M,"So, um, I guess, I, I'm not real sure what our policy is as far as, uh, the U S government from, uh government as far, you know, from government as, as far from, you, know, government as corporation goes.","M|So, um, I guess, I, I'm not real sure what our policy is as far as, uh, the U S government from, uh government as far, you know, from government as, as far from, you, know, government as corporation goes."
82,A,Nice talking to you. Bye-bye,A|Nice talking to you. Bye-bye
83,M,!!!%!! RemindMe!! Auto attacks.,M|!!!%!! RemindMe!! Auto attacks.
