,Speaker,Utterance,Unified
5,M,i've got a pine grove,M|i've got a pine grove
6,g,right take that same line still down vertically to the left of the ravine,g|right take that same line still down vertically to the left of the ravine
7,M,right,M|right
8,g,well just draw round it,g|well just draw round it
9,M,uh-huh,M|uh-huh
10,g,uh-huh is the cottage in the way there no,g|uh-huh is the cottage in the way there no
11,M,the cottage is directly below the start position right so if you go down and round the left-hand side of the pine grove,M|the cottage is directly below the start position right so if you go down and round the left-hand side of the pine grove
12,g,well that's okay right now take that take the line is the cottage directly beside the ravine,g|well that's okay right now take that take the line is the cottage directly beside the ravine
13,M,right,M|right
14,g,is there a space between them yeah,g|is there a space between them yeah
15,M,yeah,M|yeah
16,g,right take the line and go to your right underneath the cottage can you do that,g|right take the line and go to your right underneath the cottage can you do that
17,M,right,M|right
18,g,yeah but i want you to draw up through between the cottage and the ravine,g|yeah but i want you to draw up through between the cottage and the ravine
19,M,okay right,M|okay right
20,g,no up through go go down vertically until you're and draw underneath the cottage and then come up,g|no up through go go down vertically until you're and draw underneath the cottage and then come up
21,M,right right,M|right right
22,g,between the cottage and the ravine,g|between the cottage and the ravine
23,M,mm,M|mm
24,g,you weren't meant to,g|you weren't meant to
25,M,no i'm meant to be away over the other side,M|no i'm meant to be away over the other side
26,g,okay right you went down past burnt forest,g|okay right you went down past burnt forest
27,M,uh-huh,M|uh-huh
28,g,well you weren't meant to,g|well you weren't meant to
29,M,no,M|no
30,g,okay right you're meant to come down from the start,g|okay right you're meant to come down from the start
31,M,uh-huh,M|uh-huh
32,g,vertically right past burnt forest,g|vertically right past burnt forest
33,M,right,M|right
34,g,keep drawing vertically,g|keep drawing vertically
35,M,mm,M|mm
36,g,past the cottage,g|past the cottage
37,M,uh-huh,M|uh-huh
38,g,then go right underneath the cottage,g|then go right underneath the cottage
39,M,right,M|right
40,g,go up through between the cottage and the ravine 'til you get to stop just above the ravine,g|go up through between the cottage and the ravine 'til you get to stop just above the ravine
41,M,right okay right,M|right okay right
42,g,and do you have a remote village,g|and do you have a remote village
43,M,yeah,M|yeah
44,g,well on my map to the right of burnt cottage there's a remote village okay,g|well on my map to the right of burnt cottage there's a remote village okay
45,M,right well you go up the left-hand side of that and along the left side of it,M|right well you go up the left-hand side of that and along the left side of it
46,g,uh-huh and that's just situated above the ravine,g|uh-huh and that's just situated above the ravine
47,M,right,M|right
48,g,okay so i want you to imagine i want you to imagine that the remote village is there just to the right of the burnt forest right so it's kind of like in a triangle,g|okay so i want you to imagine i want you to imagine that the remote village is there just to the right of the burnt forest right so it's kind of like in a triangle
49,M,right,M|right
50,g,so draw your line to the right horizontally above the ravine okay then do you have a pine forest,g|so draw your line to the right horizontally above the ravine okay then do you have a pine forest
51,M,no,M|no
52,g,a pine grove uh-huh,g|a pine grove uh-huh
53,M,right okay,M|right okay
54,g,i want you to draw the line keep going to your right okay so you're sort of like drawing towards the top of the pine grove then stop and go from left to right in a diagonal underneath the pine grove,g|i want you to draw the line keep going to your right okay so you're sort of like drawing towards the top of the pine grove then stop and go from left to right in a diagonal underneath the pine grove
55,M,right okay,M|right okay
56,g,from from the top of the ravine to underneath the pine grove,g|from from the top of the ravine to underneath the pine grove
57,M,right,M|right
58,g,uh-huh okay and then do you have anything underneath pine grove,g|uh-huh okay and then do you have anything underneath pine grove
59,M,no nothing at all,M|no nothing at all
60,g,mm is that just right beneath it,g|mm is that just right beneath it
61,M,mmhmm,M|mmhmm
62,g,do you have concealed hideout,g|do you have concealed hideout
63,M,yes i do,M|yes i do
64,g,okay right i that's fine right i want you to go draw to your to your right under the pine grove avoiding the avalanche,g|okay right i that's fine right i want you to go draw to your to your right under the pine grove avoiding the avalanche
65,M,right okay,M|right okay
66,g,uh-huh,g|uh-huh
67,M,and go up about two inches,M|and go up about two inches
68,g,can you go between the pine grove and the avalanche,g|can you go between the pine grove and the avalanche
69,M,i can indeed,M|i can indeed
70,g,to get past it yeah well draw that way,g|to get past it yeah well draw that way
71,M,to go past it,M|to go past it
72,g,not not completely down just get past the avalanche right,g|not not completely down just get past the avalanche right
73,M,right,M|right
74,g,and then ehm eventually i want you to go round concealed hideout,g|and then ehm eventually i want you to go round concealed hideout
75,M,mmhmm,M|mmhmm
76,g,okay,g|okay
77,M,i want you then to go straight up the way to the concealed hide out,M|i want you then to go straight up the way to the concealed hide out
78,g,to to the right of concealed hideout,g|to to the right of concealed hideout
79,M,oh i've i've gone round the right i've went round the left sorry,M|oh i've i've gone round the right i've went round the left sorry
80,g,uh-huh and i want you to draw underneath concealed hideout stop just underneath concealed bit there okay are you there,g|uh-huh and i want you to draw underneath concealed hideout stop just underneath concealed bit there okay are you there
81,M,yeah,M|yeah
82,g,right do you have a boat house to your left,g|right do you have a boat house to your left
83,M,no i don't,M|no i don't
84,g,oh do you not have another one to your right of the concealed hideout,g|oh do you not have another one to your right of the concealed hideout
85,M,i do,M|i do
86,g,draw to just before the boat house writing starts there right okay that's where i want you to be,g|draw to just before the boat house writing starts there right okay that's where i want you to be
87,M,okay,M|okay
88,g,uh-huh,g|uh-huh
89,M,right,M|right
90,g,yeah i don't want you to go near the river at all,g|yeah i don't want you to go near the river at all
91,M,right,M|right
92,g,no i want you to go to the boat house on your right on your on your left,g|no i want you to go to the boat house on your right on your on your left
93,M,right okay,M|right okay
94,g,thought you did,g|thought you did
95,M,oh i did do that,M|oh i did do that
96,g,well i've got one i've got one to the left of the concealed hideout,g|well i've got one i've got one to the left of the concealed hideout
97,M,oh right okay,M|oh right okay
98,g,uh-huh,g|uh-huh
99,M,so i'm going to go down,M|so i'm going to go down
100,g,have you drawn down to there,g|have you drawn down to there
101,M,uh i've drawn down yeah,M|uh i've drawn down yeah
102,g,good right imagine you've got a boat house to the left of the concealed hideout right do you see where in can you see crane bay,g|good right imagine you've got a boat house to the left of the concealed hideout right do you see where in can you see crane bay
103,M,yeah,M|yeah
104,g,do you see where there's where the coastline comes round it's um there's a sort of like jutting out bit there's like a point,g|do you see where there's where the coastline comes round it's um there's a sort of like jutting out bit there's like a point
105,M,yeah,M|yeah
106,g,just underneath concealed hideout,g|just underneath concealed hideout
107,M,yeah i've got that,M|yeah i've got that
108,g,or just to the right of it okay i want you to you see where it comes down like that,g|or just to the right of it okay i want you to you see where it comes down like that
109,M,to the right,M|to the right
110,g,well i want you to follow follow the line of the the coast there so draw from concealed hideout vertically downwards 'til you come to that jutting out bit of the coastline then until until on that incline draw you know follow the line of the coast but don't don't go on to crane bay until you come to the the next bit that comes up okay stop there,g|well i want you to follow follow the line of the the coast there so draw from concealed hideout vertically downwards 'til you come to that jutting out bit of the coastline then until until on that incline draw you know follow the line of the coast but don't don't go on to crane bay until you come to the the next bit that comes up okay stop there
111,M,mm,M|mm
112,g,right do you have ehm coconut palm to your left,g|right do you have ehm coconut palm to your left
113,M,no,M|no
114,g,no do you have pebbled shore,g|no do you have pebbled shore
115,M,yeah,M|yeah
116,g,well i want you to draw uh i've got pebbled shore and above that i've got coconut palm,g|well i want you to draw uh i've got pebbled shore and above that i've got coconut palm
117,M,"!!! Remindme!!EMBER!!2017!!2018!!2019!!2020!! 2018!!'!!""!!,!!.!!?!!god!!there!!okay!!mm!!","M|!!! Remindme!!EMBER!!2017!!2018!!2019!!2020!! 2018!!'!!""!!,!!.!!?!!god!!there!!okay!!mm!!"
118,g,right so imagine you've got a tree there and i want you to draw between where that tree would be where the pebbled shore is so just keep drawing go make your line go down a bit right and just to come to above pebbled shore and just stop the end there and then ehm i don't suppose you've got finished marked on your map no right have you got anything below pebbled shore,g|right so imagine you've got a tree there and i want you to draw between where that tree would be where the pebbled shore is so just keep drawing go make your line go down a bit right and just to come to above pebbled shore and just stop the end there and then ehm i don't suppose you've got finished marked on your map no right have you got anything below pebbled shore
119,M,i've got i've curved round crane bay,M|i've got i've curved round crane bay
120,g,well,g|well
121,M,have you got pea tree,M|have you got pea tree
122,g,right see see where the flagship is,g|right see see where the flagship is
123,M,uh-huh,M|uh-huh
124,g,right and see where the pebbled shore is,g|right and see where the pebbled shore is
125,M,uh-huh,M|uh-huh
126,g,imagine a a triangle with ehm an equilateral triangle with the pebbled shore flagship and finish right can you,g|imagine a a triangle with ehm an equilateral triangle with the pebbled shore flagship and finish right can you
127,M,can i go down there,M|can i go down there
