,response,context,context/0,context/1,context/2,context/3
0,"That, um, uh, uh?","Yeah, that's exactly it, and that's what we're finding, um, here, where we're at, in Minneapolis area, is that people don't want to carpool that there are inconveniences to that,","Yeah, it'll be hard to get people to give up their mobility.","and, uh, whether or not, um, they'll ever get into like huge transit systems into big cities where people would all travel on a high speed, uh, train or, or something like that or,","Probably so,","Okay, for as far as, um, I would think the, probably the, uh, worst substance that's probably, um, or, started to say the, uh, what causes the most air pollution is probably the car"
1,"I'm just going to assume you mean in the city,",Uh-huh.,"Yeah, that's exactly it, and that's what we're finding, um, here, where we're at, in Minneapolis area, is that people don't want to carpool that there are inconveniences to that,","Yeah, it'll be hard to get people to give up their mobility.","and, uh, whether or not, um, they'll ever get into like huge transit systems into big cities where people would all travel on a high speed, uh, train or, or something like that or,","Probably so,"
2,"I think,","or maybe you don't like the person you have to, you would want to carpool with, that kind of thing, so it's, it's kind of a thing where, uh, I think the majority of the people do not carpool.",Uh-huh.,"Yeah, that's exactly it, and that's what we're finding, um, here, where we're at, in Minneapolis area, is that people don't want to carpool that there are inconveniences to that,","Yeah, it'll be hard to get people to give up their mobility.","and, uh, whether or not, um, they'll ever get into like huge transit systems into big cities where people would all travel on a high speed, uh, train or, or something like that or,"
3,... is it a thing?,I think so too. I'm in Texas,"or maybe you don't like the person you have to, you would want to carpool with, that kind of thing, so it's, it's kind of a thing where, uh, I think the majority of the people do not carpool.",Uh-huh.,"Yeah, that's exactly it, and that's what we're finding, um, here, where we're at, in Minneapolis area, is that people don't want to carpool that there are inconveniences to that,","Yeah, it'll be hard to get people to give up their mobility."
4,"No, it's not.",Uh-huh.,I think so too. I'm in Texas,"or maybe you don't like the person you have to, you would want to carpool with, that kind of thing, so it's, it's kind of a thing where, uh, I think the majority of the people do not carpool.",Uh-huh.,"Yeah, that's exactly it, and that's what we're finding, um, here, where we're at, in Minneapolis area, is that people don't want to carpool that there are inconveniences to that,"
5,"Uhh, not really.",and very few people carpool,Uh-huh.,I think so too. I'm in Texas,"or maybe you don't like the person you have to, you would want to carpool with, that kind of thing, so it's, it's kind of a thing where, uh, I think the majority of the people do not carpool.",Uh-huh.
6,Do you mean carpool?,Yeah.,and very few people carpool,Uh-huh.,I think so too. I'm in Texas,"or maybe you don't like the person you have to, you would want to carpool with, that kind of thing, so it's, it's kind of a thing where, uh, I think the majority of the people do not carpool."
7,"I've seen people do it, but I don't think it's the same.","uh, the people that I know don't want to because, uh, they never know for sure what time they're going to leave their job",Yeah.,and very few people carpool,Uh-huh.,I think so too. I'm in Texas
8,Because people don't know.,Exactly.,"uh, the people that I know don't want to because, uh, they never know for sure what time they're going to leave their job",Yeah.,and very few people carpool,Uh-huh.
9,What do you mean?,"they never know when they want to run out and do an errand at noon, you know, they just feel they need their car.",Exactly.,"uh, the people that I know don't want to because, uh, they never know for sure what time they're going to leave their job",Yeah.,and very few people carpool
10,I think it's the other way around.,"Uh-huh, or if somebody gets sick. Yeah, or if somebody gets sick, and it's not the other person and they want to go home, and that one person's got the car then they're, they're stuck,","they never know when they want to run out and do an errand at noon, you know, they just feel they need their car.",Exactly.,"uh, the people that I know don't want to because, uh, they never know for sure what time they're going to leave their job",Yeah.
11,What if you're the,Uh-huh. Uh-huh.,"Uh-huh, or if somebody gets sick. Yeah, or if somebody gets sick, and it's not the other person and they want to go home, and that one person's got the car then they're, they're stuck,","they never know when they want to run out and do an errand at noon, you know, they just feel they need their car.",Exactly.,"uh, the people that I know don't want to because, uh, they never know for sure what time they're going to leave their job"
12,"Well if they're not going to be there for a while, they're probably not going home.","you're definitely right,",Uh-huh. Uh-huh.,"Uh-huh, or if somebody gets sick. Yeah, or if somebody gets sick, and it's not the other person and they want to go home, and that one person's got the car then they're, they're stuck,","they never know when they want to run out and do an errand at noon, you know, they just feel they need their car.",Exactly.
13,you.,That's right. And people don't want to give it up but now I think we've made great strides in changing a lot of that by going to the unleaded gasoline and and to change the car itself,"you're definitely right,",Uh-huh. Uh-huh.,"Uh-huh, or if somebody gets sick. Yeah, or if somebody gets sick, and it's not the other person and they want to go home, and that one person's got the car then they're, they're stuck,","they never know when they want to run out and do an errand at noon, you know, they just feel they need their car."
14,Uhh,"Uh-huh. Sure. Sure, that happens quite a bit,",That's right. And people don't want to give it up but now I think we've made great strides in changing a lot of that by going to the unleaded gasoline and and to change the car itself,"you're definitely right,",Uh-huh. Uh-huh.,"Uh-huh, or if somebody gets sick. Yeah, or if somebody gets sick, and it's not the other person and they want to go home, and that one person's got the car then they're, they're stuck,"
15,We don't know.,"but, uh, you know, I, I don't guess we can get away from it a hundred percent","Uh-huh. Sure. Sure, that happens quite a bit,",That's right. And people don't want to give it up but now I think we've made great strides in changing a lot of that by going to the unleaded gasoline and and to change the car itself,"you're definitely right,",Uh-huh. Uh-huh.
16,You think that's bad?,"Yes, yeah","but, uh, you know, I, I don't guess we can get away from it a hundred percent","Uh-huh. Sure. Sure, that happens quite a bit,",That's right. And people don't want to give it up but now I think we've made great strides in changing a lot of that by going to the unleaded gasoline and and to change the car itself,"you're definitely right,"
17,Well I think it's going to be a lot more expensive than the new car.,but,"Yes, yeah","but, uh, you know, I, I don't guess we can get away from it a hundred percent","Uh-huh. Sure. Sure, that happens quite a bit,",That's right. And people don't want to give it up but now I think we've made great strides in changing a lot of that by going to the unleaded gasoline and and to change the car itself
18,It's just a very small thing.,"that's very true. Uh, other than that, uh, I don't know,",but,"Yes, yeah","but, uh, you know, I, I don't guess we can get away from it a hundred percent","Uh-huh. Sure. Sure, that happens quite a bit,"
19,"I'm sorry, I'm not sure, I think it's a very good line","Well, my other line is ringing","that's very true. Uh, other than that, uh, I don't know,",but,"Yes, yeah","but, uh, you know, I, I don't guess we can get away from it a hundred percent"
20,"No, I'm the only one that is, sorry",Okay.,"Well, my other line is ringing","that's very true. Uh, other than that, uh, I don't know,",but,"Yes, yeah"
21,I don't think you know what a spoiler is.,but we're going to ignore it,Okay.,"Well, my other line is ringing","that's very true. Uh, other than that, uh, I don't know,",but
22,"I'm sorry, I was talking to the guy in the other line","Oh, okay, we'll try to be real quick here.",but we're going to ignore it,Okay.,"Well, my other line is ringing","that's very true. Uh, other than that, uh, I don't know,"
23,Beep beep beeps,"I'm sorry for these beeps,","Oh, okay, we'll try to be real quick here.",but we're going to ignore it,Okay.,"Well, my other line is ringing"
24,"Oh, I didn't say that.","The other thing then is, because I don't know how long they want us to talk,","I'm sorry for these beeps,","Oh, okay, we'll try to be real quick here.",but we're going to ignore it,Okay.
25,"the thing, I'm not sure.","Oh, close to five minutes, I believe.","The other thing then is, because I don't know how long they want us to talk,","I'm sorry for these beeps,","Oh, okay, we'll try to be real quick here.",but we're going to ignore it
