,response,context,context/0,context/1,context/2,context/3
0,!!!%!!;!! Remind me.,But the four bedrooms and all the rest of it sounds just about about alike. I think it's pretty much typical for this area.,Yeah.,"Uh-huh. Well, it sounds like ours are pretty similar. I live in one, I don't have a swimming pool. And mine's about twenty-seven hundred square foot.","Well, uh, we live in a, a brick home in far north Dallas and it's, uh, four bedrooms and three and a half baths and swimming pool in the back and, It's about thirty-five hundred square feet.","Okay, what kind of house do you live in?"
1,Yes.,It is. Have you been living there very long?,But the four bedrooms and all the rest of it sounds just about about alike. I think it's pretty much typical for this area.,Yeah.,"Uh-huh. Well, it sounds like ours are pretty similar. I live in one, I don't have a swimming pool. And mine's about twenty-seven hundred square foot.","Well, uh, we live in a, a brick home in far north Dallas and it's, uh, four bedrooms and three and a half baths and swimming pool in the back and, It's about thirty-five hundred square feet."
2,"Oh, my goodness.",I've been in the house I'm in here right now about twelve and a half years.,It is. Have you been living there very long?,But the four bedrooms and all the rest of it sounds just about about alike. I think it's pretty much typical for this area.,Yeah.,"Uh-huh. Well, it sounds like ours are pretty similar. I live in one, I don't have a swimming pool. And mine's about twenty-seven hundred square foot."
3,"Yeah. I remember my parents, uh.","So you've been there longer. We built this one about, uh, it's been let's see it's been six years six and a half years ago,",I've been in the house I'm in here right now about twelve and a half years.,It is. Have you been living there very long?,But the four bedrooms and all the rest of it sounds just about about alike. I think it's pretty much typical for this area.,Yeah.
4,"so,",Uh-huh.,"So you've been there longer. We built this one about, uh, it's been let's see it's been six years six and a half years ago,",I've been in the house I'm in here right now about twelve and a half years.,It is. Have you been living there very long?,But the four bedrooms and all the rest of it sounds just about about alike. I think it's pretty much typical for this area.
5,Uh.,"and we subcontracted it out ourselves. We bought the lot and, uh, had an architect draw the plans based on our specifications",Uh-huh.,"So you've been there longer. We built this one about, uh, it's been let's see it's been six years six and a half years ago,",I've been in the house I'm in here right now about twelve and a half years.,It is. Have you been living there very long?
6,!!!%!! Remind me of that.,"Oh, really? Uh-huh.","and we subcontracted it out ourselves. We bought the lot and, uh, had an architect draw the plans based on our specifications",Uh-huh.,"So you've been there longer. We built this one about, uh, it's been let's see it's been six years six and a half years ago,",I've been in the house I'm in here right now about twelve and a half years.
7,"Uh, are you a, are, are your, uh...","and then we subbed it out, so, we've been here a little over six years now. And uh, have really enjoyed it because we built what we wanted to have to live in.","Oh, really? Uh-huh.","and we subcontracted it out ourselves. We bought the lot and, uh, had an architect draw the plans based on our specifications",Uh-huh.,"So you've been there longer. We built this one about, uh, it's been let's see it's been six years six and a half years ago,"
8,"And, uh  it's, uh","Uh-huh. Well, I bet you, Uh-huh.","and then we subbed it out, so, we've been here a little over six years now. And uh, have really enjoyed it because we built what we wanted to have to live in.","Oh, really? Uh-huh.","and we subcontracted it out ourselves. We bought the lot and, uh, had an architect draw the plans based on our specifications",Uh-huh.
9,Uh.,"My husband got his big garage. He we have a three car garage, that he has a big work area in","Uh-huh. Well, I bet you, Uh-huh.","and then we subbed it out, so, we've been here a little over six years now. And uh, have really enjoyed it because we built what we wanted to have to live in.","Oh, really? Uh-huh.","and we subcontracted it out ourselves. We bought the lot and, uh, had an architect draw the plans based on our specifications"
10,but it's all custom.,Uh-huh.,"My husband got his big garage. He we have a three car garage, that he has a big work area in","Uh-huh. Well, I bet you, Uh-huh.","and then we subbed it out, so, we've been here a little over six years now. And uh, have really enjoyed it because we built what we wanted to have to live in.","Oh, really? Uh-huh."
11,Yeah.,"and he likes to rebuild cars and redo engines and, so he has all the work space he needs.",Uh-huh.,"My husband got his big garage. He we have a three car garage, that he has a big work area in","Uh-huh. Well, I bet you, Uh-huh.","and then we subbed it out, so, we've been here a little over six years now. And uh, have really enjoyed it because we built what we wanted to have to live in."
12,Well it's been a pleasure talking to you.,"Well, that sounds interesting. I bet he's enjoyed having it that way","and he likes to rebuild cars and redo engines and, so he has all the work space he needs.",Uh-huh.,"My husband got his big garage. He we have a three car garage, that he has a big work area in","Uh-huh. Well, I bet you, Uh-huh."
13,"and, uh,","He,","Well, that sounds interesting. I bet he's enjoyed having it that way","and he likes to rebuild cars and redo engines and, so he has all the work space he needs.",Uh-huh.,"My husband got his big garage. He we have a three car garage, that he has a big work area in"
14,Uh-uh. Yeah.,because kind of hard to find one prebuilt that's kind of fits those specifications.,"He,","Well, that sounds interesting. I bet he's enjoyed having it that way","and he likes to rebuild cars and redo engines and, so he has all the work space he needs.",Uh-huh.
15,Uh-huh.,"It is, and that's why we decided to build. We looked at things that were already, uh, built",because kind of hard to find one prebuilt that's kind of fits those specifications.,"He,","Well, that sounds interesting. I bet he's enjoyed having it that way","and he likes to rebuild cars and redo engines and, so he has all the work space he needs."
16,and they're not quite as nice looking.,Uh-huh.,"It is, and that's why we decided to build. We looked at things that were already, uh, built",because kind of hard to find one prebuilt that's kind of fits those specifications.,"He,","Well, that sounds interesting. I bet he's enjoyed having it that way"
17,Uh.,"and the garages were always, if the house was large, it seemed like the garages were small even if they were three car garages which is what we have.",Uh-huh.,"It is, and that's why we decided to build. We looked at things that were already, uh, built",because kind of hard to find one prebuilt that's kind of fits those specifications.,"He,"
18,Right.,"Well, then, most of them don't have a three car garage.","and the garages were always, if the house was large, it seemed like the garages were small even if they were three car garages which is what we have.",Uh-huh.,"It is, and that's why we decided to build. We looked at things that were already, uh, built",because kind of hard to find one prebuilt that's kind of fits those specifications.
19,"But, uh.",Uh-huh.,"Well, then, most of them don't have a three car garage.","and the garages were always, if the house was large, it seemed like the garages were small even if they were three car garages which is what we have.",Uh-huh.,"It is, and that's why we decided to build. We looked at things that were already, uh, built"
20,Yeah.,They're kind of rare.,Uh-huh.,"Well, then, most of them don't have a three car garage.","and the garages were always, if the house was large, it seemed like the garages were small even if they were three car garages which is what we have.",Uh-huh.
21,Yeah.,So we put a three car garage in.,They're kind of rare.,Uh-huh.,"Well, then, most of them don't have a three car garage.","and the garages were always, if the house was large, it seemed like the garages were small even if they were three car garages which is what we have."
22,"And it was, it was a lot of fun.",Uh-huh.,So we put a three car garage in.,They're kind of rare.,Uh-huh.,"Well, then, most of them don't have a three car garage."
23,Yeah.,"But, even if they had three car garages, they didn't have a work space. All of it was taken up with just car space.",Uh-huh.,So we put a three car garage in.,They're kind of rare.,Uh-huh.
24,"And, uh, we, I don't know, we were, we just didn't do it.",Uh-huh.,"But, even if they had three car garages, they didn't have a work space. All of it was taken up with just car space.",Uh-huh.,So we put a three car garage in.,They're kind of rare.
25,"Oh, wow.",And so he has a big landing area that's between where the cars are in the garage and where the house starts that he can work on.,Uh-huh.,"But, even if they had three car garages, they didn't have a work space. All of it was taken up with just car space.",Uh-huh.,So we put a three car garage in.
26,Yeah.,"Uh-huh. Well that, my, we've just got a two car garage, but my husband's got a big space in between the, where the cars are and the house, where he has a big work shop, you know, workbench and everything.",And so he has a big landing area that's between where the cars are in the garage and where the house starts that he can work on.,Uh-huh.,"But, even if they had three car garages, they didn't have a work space. All of it was taken up with just car space.",Uh-huh.
27,"Yeah, my husband and I have, well, we both have a big family, but I think my husband is more into the sewing and the garage work.","Well, sounds like our husbands have similar interests.","Uh-huh. Well that, my, we've just got a two car garage, but my husband's got a big space in between the, where the cars are and the house, where he has a big work shop, you know, workbench and everything.",And so he has a big landing area that's between where the cars are in the garage and where the house starts that he can work on.,Uh-huh.,"But, even if they had three car garages, they didn't have a work space. All of it was taken up with just car space."
28,"Oh, my goodness.","Now, mine does not work on cars, he just piddles on this and that.","Well, sounds like our husbands have similar interests.","Uh-huh. Well that, my, we've just got a two car garage, but my husband's got a big space in between the, where the cars are and the house, where he has a big work shop, you know, workbench and everything.",And so he has a big landing area that's between where the cars are in the garage and where the house starts that he can work on.,Uh-huh.
29,"So,","Oh, I see.","Now, mine does not work on cars, he just piddles on this and that.","Well, sounds like our husbands have similar interests.","Uh-huh. Well that, my, we've just got a two car garage, but my husband's got a big space in between the, where the cars are and the house, where he has a big work shop, you know, workbench and everything.",And so he has a big landing area that's between where the cars are in the garage and where the house starts that he can work on.
30,"Uh-oh, uh-oh.","But he likes to have a spot to keep all of his, his piddling things.","Oh, I see.","Now, mine does not work on cars, he just piddles on this and that.","Well, sounds like our husbands have similar interests.","Uh-huh. Well that, my, we've just got a two car garage, but my husband's got a big space in between the, where the cars are and the house, where he has a big work shop, you know, workbench and everything."
