,Speaker,Utterance,Unified
5,B,"Well, we live, uh, pretty close, to the Mesquite Golf Course.","B|Well, we live, uh, pretty close, to the Mesquite Golf Course."
6,M,"Yeah, uh, what's up?","M|Yeah, uh, what's up?"
7,B,"So, we will play either out there or at Firewheel. That is usually where we play, but I have played you know different courses in in the Dallas area.","B|So, we will play either out there or at Firewheel. That is usually where we play, but I have played you know different courses in in the Dallas area."
8,M,I've been playing in the Mesothelioma.,M|I've been playing in the Mesothelioma.
9,B,"Uh, both","B|Uh, both"
10,M,Do we have a team?,M|Do we have a team?
11,B,Not at the same time.,B|Not at the same time.
12,M,Are you guys on the same course?,M|Are you guys on the same course?
13,B,"No, sometimes we ride and sometimes, uh, we, pull, we like to, to, uh, a lot of the times just walk, uh, for the exercise.  But","B|No, sometimes we ride and sometimes, uh, we, pull, we like to, to, uh, a lot of the times just walk, uh, for the exercise.  But"
14,M,"When you say you're a big guy, do you mean you walk or do you walk and do it?","M|When you say you're a big guy, do you mean you walk or do you walk and do it?"
15,B,"I find that when I ride in a cart, I play better and I think it is cause I don't get as tired","B|I find that when I ride in a cart, I play better and I think it is cause I don't get as tired"
16,M,"I'm not sure, but it's probably because I ride a cart and I'm not as good as you.","M|I'm not sure, but it's probably because I ride a cart and I'm not as good as you."
17,B,Yeah.,B|Yeah.
18,M,Are you riding?,M|Are you riding?
19,B,"I know, and that makes me so mad You know, it is like it is not going to do that much damage to the course, but apparently they think differently","B|I know, and that makes me so mad You know, it is like it is not going to do that much damage to the course, but apparently they think differently"
20,M,You can only get out in the first 2 rounds.,M|You can only get out in the first 2 rounds.
21,B,Yeah.,B|Yeah.
22,M,They are doing a lot of damage to it.,M|They are doing a lot of damage to it.
23,B,Right.,B|Right.
24,M,So the reason you don't want to be there is because of the cart?,M|So the reason you don't want to be there is because of the cart?
25,B,"Right. Well, the reason why we play over there is because its where, since we are a Garland resident, they gave us a special deal where you can get, uh, ten rounds of golf for a hundred dollars, yeah, a hundred dollars cause it is half price what the normal green fees are.","B|Right. Well, the reason why we play over there is because its where, since we are a Garland resident, they gave us a special deal where you can get, uh, ten rounds of golf for a hundred dollars, yeah, a hundred dollars cause it is half price what the normal green fees are."
26,M,... So... are you saying the turf is covered?,M|... So... are you saying the turf is covered?
27,B,So that is why we you know play over there cause we have got our card,B|So that is why we you know play over there cause we have got our card
28,M,I live in a place where we can play over here.,M|I live in a place where we can play over here.
29,B,"Oh, do you? So you live in Garland then.","B|Oh, do you? So you live in Garland then."
30,M,"Yeah, we have a card.","M|Yeah, we have a card."
31,B,"Okay, well we are in south Garland, but yeah, next time you go, uh, you know, check into it, they have, uh, it is just like, uh, a bus card and they just punch it. You know, it has got one through ten on it and every time you go they just punch it for you.","B|Okay, well we are in south Garland, but yeah, next time you go, uh, you know, check into it, they have, uh, it is just like, uh, a bus card and they just punch it. You know, it has got one through ten on it and every time you go they just punch it for you."
32,M,,M|
33,B,"Oh, okay.","B|Oh, okay."
34,M,I have you played?,M|I have you played?
35,B,"You must have a, a son.","B|You must have a, a son."
36,M,I don't?,M|I don't?
37,B,"Oh, okay.","B|Oh, okay."
38,M,"Yeah, I'm pretty active in the Boy Scout Age.","M|Yeah, I'm pretty active in the Boy Scout Age."
39,B,Yeah.,B|Yeah.
40,M,So camping and canoe?,M|So camping and canoe?
41,B,Oh well that sounds like fun too,B|Oh well that sounds like fun too
42,M,No. Not really.,M|No. Not really.
43,B,"Uh-huh. Well, you need to, uh, teach them how to play and take them out on the course with you","B|Uh-huh. Well, you need to, uh, teach them how to play and take them out on the course with you"
44,M,I'm gonna have to try this. I don't have any friends that play golf.,M|I'm gonna have to try this. I don't have any friends that play golf.
45,B,"Oh, yeah. Well you can teach them","B|Oh, yeah. Well you can teach them"
46,M,I'm a freshman.,M|I'm a freshman.
47,B,Uh-huh.,B|Uh-huh.
48,M,You don't have to be a little kid to understand,M|You don't have to be a little kid to understand
49,B,"Right, Right. Uh-huh.","B|Right, Right. Uh-huh."
50,M,I'm gonna say it's not.,M|I'm gonna say it's not.
51,B,Uh-huh. Right. Right.,B|Uh-huh. Right. Right.
52,M,I like to think that we've had a group of golf courses in the past that have been completely unenforceable.,M|I like to think that we've had a group of golf courses in the past that have been completely unenforceable.
53,B,"Right. Yeah, I know what you mean","B|Right. Yeah, I know what you mean"
54,M,I'm sure I could find something else to say about it,M|I'm sure I could find something else to say about it
55,B,Uh-huh.,B|Uh-huh.
56,M,Well uhuh. I don't wanna play strikeout.,M|Well uhuh. I don't wanna play strikeout.
57,B,"Oh yeah. It, it is just nice to get outdoors and do something.","B|Oh yeah. It, it is just nice to get outdoors and do something."
58,M,I see.,M|I see.
59,B,"Well flower gardens. I like to have, matter of fact this past weekend I just got finished planting a bunch of tulips and daffodil bulbs. So, those ought to be coming up around spring time","B|Well flower gardens. I like to have, matter of fact this past weekend I just got finished planting a bunch of tulips and daffodil bulbs. So, those ought to be coming up around spring time"
60,M,What are you doing?,M|What are you doing?
61,B,Uh-huh.,B|Uh-huh.
62,M,Are you ready?,M|Are you ready?
63,B,Right.,B|Right.
64,M,They have a flower garden,M|They have a flower garden
65,B,"Oh, they do great. I put mine in probably in November.","B|Oh, they do great. I put mine in probably in November."
66,M,They're blooming right now.,M|They're blooming right now.
67,B,"Yeah, I think it was November and I don't do anything to mine, water them or anything And they just, they do really good and I even had, uh, I guess it was last year or the year before, I had some out and it froze and the pansies looked terrible, but they came back later. I didn't do anything to them so they are, uh, they are good to plant in the winter time. They last for a long time then. So, if you start putting them, you know, you can put them out in the spring too, but once it starts getting real hot then it just kills them cause they can't stand the hot weather.","B|Yeah, I think it was November and I don't do anything to mine, water them or anything And they just, they do really good and I even had, uh, I guess it was last year or the year before, I had some out and it froze and the pansies looked terrible, but they came back later. I didn't do anything to them so they are, uh, they are good to plant in the winter time. They last for a long time then. So, if you start putting them, you know, you can put them out in the spring too, but once it starts getting real hot then it just kills them cause they can't stand the hot weather."
68,M,,M|
69,B,"No, they won't make it through the summer because it gets too hot, but they make it through probably winter and spring. So,","B|No, they won't make it through the summer because it gets too hot, but they make it through probably winter and spring. So,"
70,M,,M|
71,B,"Yeah, I have got some of those too, cause I love flowers","B|Yeah, I have got some of those too, cause I love flowers"
72,M,i,M|i
73,B,"Yeah. And I do, I try to do some arts and crafts and I love to go,","B|Yeah. And I do, I try to do some arts and crafts and I love to go,"
