,Speaker,Utterance,Unified
5,B,Yes. Yes.,B|Yes. Yes.
6,M,Did you ever have a dog?,M|Did you ever have a dog?
7,B,"Yes, well, they were, they really wanted something teeny tiny, and I, uh, really wanted that retriever's disposition. Uh, the ultimate to tolerant, trainable disposition,","B|Yes, well, they were, they really wanted something teeny tiny, and I, uh, really wanted that retriever's disposition. Uh, the ultimate to tolerant, trainable disposition,"
8,M,It's a cute dog.,M|It's a cute dog.
9,B,so I called four or five dog trainers because I don't like the little dogs.,B|so I called four or five dog trainers because I don't like the little dogs.
10,M,"I have a dog that likes to play fetch with me. He has a leash, so I've been doing it for about a year.","M|I have a dog that likes to play fetch with me. He has a leash, so I've been doing it for about a year."
11,B,"And, and I asked them, you know, these are the ages of the kids, what do I get. And they all said, Golden Retriever and I said okay, put it under twenty pounds. And the only thing that they could come up with was a Bichon Frize which is a,","B|And, and I asked them, you know, these are the ages of the kids, what do I get. And they all said, Golden Retriever and I said okay, put it under twenty pounds. And the only thing that they could come up with was a Bichon Frize which is a,"
12,M,,M|
13,B,Do you know what that is?,B|Do you know what that is?
14,M,I know it's a bichon.,M|I know it's a bichon.
15,B,"They're cute. They look like an air headed let me tell you. They're calm, they're not yuppie , they're trainable, they're, uh, very personable in a different way that a Golden Retriever is. They're not dignified like a retriever can be.","B|They're cute. They look like an air headed let me tell you. They're calm, they're not yuppie , they're trainable, they're, uh, very personable in a different way that a Golden Retriever is. They're not dignified like a retriever can be."
16,M,He's not,M|He's not
17,B,Yeah. So how old is your retriever?,B|Yeah. So how old is your retriever?
18,M,It's a golden retriever,M|It's a golden retriever
19,B,"Well, actually, you know, that's the breed standard for females. What you,","B|Well, actually, you know, that's the breed standard for females. What you,"
20,M,Looks like.,M|Looks like.
21,B,"yeah, what you see shown and bred now as Golden Retrievers, this, you know, plus eighty to a hundred pound range.","B|yeah, what you see shown and bred now as Golden Retrievers, this, you know, plus eighty to a hundred pound range."
22,M,So this is a golden,M|So this is a golden
23,B,That is not breed standard.,B|That is not breed standard.
24,M,I've seen them breed with a golden retriever.,M|I've seen them breed with a golden retriever.
25,B,"Fifty-five is the minimum but they usually run about sixty to sixty-five. And the ones that are shown, they are inside that weight allowance.","B|Fifty-five is the minimum but they usually run about sixty to sixty-five. And the ones that are shown, they are inside that weight allowance."
26,M,What breed is your dog?,M|What breed is your dog?
27,B,"You cannot show your retriever if it's, you know, a hundred plus pounds.","B|You cannot show your retriever if it's, you know, a hundred plus pounds."
28,M,"Aww, that's what I wanted.","M|Aww, that's what I wanted."
29,B,"So don't say she's small, just say she's perfect.","B|So don't say she's small, just say she's perfect."
30,M,"She's a dog, not a retriever.","M|She's a dog, not a retriever."
31,B,Uh-huh.,B|Uh-huh.
32,M,She's beautiful,M|She's beautiful
33,B,Yep.,B|Yep.
34,M,She has a small nose.,M|She has a small nose.
35,B,"Well, they are, they are the ultimate dog to have around kids so long as your kid is not scared of a big dog, because I had a retriever, actually I had a retriever Irish Setter cross. Which is a really nice animal","B|Well, they are, they are the ultimate dog to have around kids so long as your kid is not scared of a big dog, because I had a retriever, actually I had a retriever Irish Setter cross. Which is a really nice animal"
36,M,She.,M|She.
37,B,and fortunately it was just like a retriever and then I've had a retriever.,B|and fortunately it was just like a retriever and then I've had a retriever.
38,M,You're dog?,M|You're dog?
39,B,"It was gorgeous. It was just gorgeous. I mean just gorgeous. Um, and they both, you know, both the half breed and the pure breed had the, uh, what I consider the, the, the perfect disposition. But you know what, you know what scares me about Golden Retrievers? Since they've become so popular you get what I call backyard breeders. Which is probably where yours came from. People that don't know what they're doing, and they breed them, you know, for a certain characteristic. And in the retrievers it happens to be they like them big, for somehow big is perceived as the better. And when you start doing that you really tamper with, you know, the, all the, the years of, uh, culling litters and, and, uh, you tamper with what the dog innately is.","B|It was gorgeous. It was just gorgeous. I mean just gorgeous. Um, and they both, you know, both the half breed and the pure breed had the, uh, what I consider the, the, the perfect disposition. But you know what, you know what scares me about Golden Retrievers? Since they've become so popular you get what I call backyard breeders. Which is probably where yours came from. People that don't know what they're doing, and they breed them, you know, for a certain characteristic. And in the retrievers it happens to be they like them big, for somehow big is perceived as the better. And when you start doing that you really tamper with, you know, the, all the, the years of, uh, culling litters and, and, uh, you tamper with what the dog innately is."
40,M,.,M|.
