Freq.	Free Freq.	Size	Surface Form	Establishment turn	Spanning	Priming	First Speaker	Turns
2	2	4	a lot of work	22	8	1	M	15, 22
4	4	3	that's true .	18	94	1	M	11, 18, 85, 104
2	2	3	i mean i	47	40	1	B	8, 47
2	2	3	i think they	25	18	1	B	8, 25
2	2	3	i've never tried	75	46	1	B	30, 75
2	2	3	it in the	100	2	1	M	99, 100
2	2	3	of it and	67	50	1	B	18, 67
2	2	3	sounds good .	75	70	1	B	6, 75
2	2	3	what kind of	45	44	1	B	2, 45
2	2	3	you have to	59	36	1	B	24, 59
2	2	3	you know it's	43	36	1	B	8, 43
12	12	2	uh-huh .	23	89	1	B	14, 23, 35, 42, 50, 52, 58, 60, 86, 96, 98, 102
12	12	2	yeah .	4	106	1	M	3, 4, 9, 12, 28, 37, 55, 65, 66, 77, 106, 108
8	8	2	and then	18	99	1	M	5, 18, 51, 61, 90, 95, 99, 103
8	6	2	you know	43	96	4	B	8, 22, 24, 30, 43, 71, 87, 103
6	5	2	i think	25	47	4	B	8, 10, 22, 24, 25, 54
5	3	2	in the	99	83	3	B	18, 88, 90, 99, 100
4	4	2	. i	75	97	2	B	8, 10, 75, 104
4	4	2	and you	51	44	1	B	24, 51, 59, 67
4	2	2	have to	71	64	1	B	24, 59, 71, 87
4	2	2	i mean	29	100	1	B	8, 29, 47, 107
4	2	2	i've never	75	47	2	B	30, 48, 75, 76
4	2	2	of it	18	63	1	M	5, 18, 43, 67
4	4	2	oh yeah	26	75	1	M	3, 26, 37, 77
4	4	2	put the	18	95	1	M	5, 18, 88, 99
3	1	2	a lot	84	70	1	M	15, 22, 84
3	1	2	good .	84	79	1	B	6, 75, 84
3	3	2	i have	68	68	2	M	1, 47, 68
3	1	2	it in	100	42	2	M	59, 99, 100
3	1	2	kind of	73	72	1	B	2, 45, 73
3	3	2	of that	89	44	1	B	48, 89, 91
3	3	2	put it	100	97	1	M	5, 100, 101
3	3	2	that .	75	57	1	B	48, 75, 104
2	2	2	a good	53	46	1	B	8, 53
2	2	2	had to	36	30	1	M	7, 36
2	2	2	i just	70	66	1	M	5, 70
2	2	2	i've seen	57	28	1	B	30, 57
2	2	2	is it	54	26	1	M	29, 54
2	2	2	it doesn't	63	32	1	B	32, 63
2	2	2	kinds of	47	38	1	B	10, 47
2	2	2	know what	54	12	1	M	43, 54
2	2	2	like a	54	50	1	M	5, 54
2	2	2	like to	13	6	1	B	8, 13
2	2	2	so you	88	46	1	M	43, 88
2	2	2	the top	51	34	1	B	18, 51
2	2	2	well that's	85	52	1	B	34, 85
2	2	2	wonderful .	31	32	1	B	0, 31
2	2	2	work but	87	66	1	B	22, 87
27	14	1	i	8	109	3	M	1, 5, 7, 8, 10, 13, 22, 24, 25, 29, 32, 34, 40, 47, 54, 57, 61, 68, 69, 70, 75, 81, 82, 99, 104, 107, 109
23	10	1	yeah	11	106	1	M	3, 4, 9, 11, 12, 26, 27, 28, 37, 39, 47, 49, 55, 56, 57, 65, 66, 75, 77, 81, 85, 106, 108
21	14	1	a	8	103	2	M	1, 5, 8, 13, 15, 18, 22, 29, 47, 49, 53, 54, 67, 73, 78, 83, 84, 95, 97, 99, 103
21	15	1	and	18	103	5	M	1, 5, 7, 13, 17, 18, 24, 36, 41, 47, 51, 59, 61, 67, 71, 84, 90, 95, 97, 99, 103
20	7	1	of	2	99	1	M	1, 2, 5, 8, 10, 15, 18, 22, 36, 43, 45, 47, 48, 51, 67, 73, 76, 89, 91, 99
19	15	1	it	18	97	1	M	5, 18, 22, 29, 30, 32, 43, 49, 51, 54, 59, 63, 67, 73, 75, 84, 99, 100, 101
19	16	1	that	7	102	1	B	6, 7, 18, 30, 38, 43, 48, 62, 75, 80, 81, 82, 87, 89, 90, 91, 99, 104, 107
17	13	1	oh	3	95	1	B	0, 3, 6, 10, 16, 22, 26, 31, 32, 34, 37, 38, 40, 62, 77, 80, 94
17	8	1	you	43	96	5	B	8, 18, 22, 24, 30, 43, 49, 51, 59, 62, 67, 71, 78, 87, 88, 100, 103
14	8	1	to	8	93	1	M	7, 8, 13, 24, 36, 43, 59, 62, 69, 70, 71, 73, 87, 99
