,Speaker,Utterance,Unified
5,f,bottom,f|bottom
6,M,uh-uh,M|uh-uh
7,f,of the camp or of the map,f|of the camp or of the map
8,M,right go round the camp,M|right go round the camp
9,f,of the map now i have a banana tree instead,f|of the map now i have a banana tree instead
10,M,banana tree,M|banana tree
11,f,left and down,f|left and down
12,M,and then along to your right,M|and then along to your right
13,f,yeah,f|yeah
14,M,right,M|right
15,f,so that i'm on the left of what i have as a banana tree,f|so that i'm on the left of what i have as a banana tree
16,M,right so you're on the same level as that,M|right so you're on the same level as that
17,f,so that i end up on the left of what is the banana tree on this map or maybe the gorillas on yours,f|so that i end up on the left of what is the banana tree on this map or maybe the gorillas on yours
18,M,right on this one there's obviously you've got to go round it,M|right on this one there's obviously you've got to go round it
19,f,okay,f|okay
20,M,"right so you're going to come up and then you're doing a ""u"" shape to miss these pelicans","M|right so you're going to come up and then you're doing a ""u"" shape to miss these pelicans"
21,f,i do ehm do i avoid the missionary camp where i'm moving,f|i do ehm do i avoid the missionary camp where i'm moving
22,M,well it's a good way over to the right-hand side of the page,M|well it's a good way over to the right-hand side of the page
23,f,so i move along so that i'm to the left of the missionary camp when i go down,f|so i move along so that i'm to the left of the missionary camp when i go down
24,M,uh-huh that's right,M|uh-huh that's right
25,f,okay now i'm at the left-hand side of the banana tree about,f|okay now i'm at the left-hand side of the banana tree about
26,M,"!!!!,!!'!!!'!!""!!':!!2017!!4!!8!!7!!","M|!!!!,!!'!!!'!!""!!':!!2017!!4!!8!!7!!"
27,f,almost the extreme left of the page and about four centimetres up,f|almost the extreme left of the page and about four centimetres up
28,M,ok,M|ok
29,f,about quarter of the way up,f|about quarter of the way up
30,M,right okay,M|right okay
31,f,uh-huh,f|uh-huh
32,M,"!!!'!!!'!!""!!92!!22!!226!!","M|!!!'!!!'!!""!!92!!22!!226!!"
33,f,okay so i'm going straight up and actually cross over the rope bridge,f|okay so i'm going straight up and actually cross over the rope bridge
34,M,yeah and then across it right and cross over it,M|yeah and then across it right and cross over it
35,f,so i move up and cross over the rope bridge right so i'm now standing at the other side of the rope bridge,f|so i move up and cross over the rope bridge right so i'm now standing at the other side of the rope bridge
36,M,uh-uh,M|uh-uh
37,f,uh-huh yeah,f|uh-huh yeah
38,M,and then go across to the right about two centimetre,M|and then go across to the right about two centimetre
39,f,yeah it's right of where i am at the moment,f|yeah it's right of where i am at the moment
40,M,right go straight up about four centimetre and draw a line to the left just about straight up,M|right go straight up about four centimetre and draw a line to the left just about straight up
41,f,uh-huh,f|uh-huh
42,M,if you just take a line right round the outside of that,M|if you just take a line right round the outside of that
43,f,mmhmm,f|mmhmm
44,M,for about an inch and a half,M|for about an inch and a half
45,f,uh-huh,f|uh-huh
46,M,and then you sort you're going diagonally up the way,M|and then you sort you're going diagonally up the way
47,f,yeah,f|yeah
48,M,right,M|right
49,f,no no steps,f|no no steps
50,M,right well go right down to the bottom of them,M|right well go right down to the bottom of them
51,f,oh yeah which are where,f|oh yeah which are where
52,M,the lost steps the the the waterfall is to the left of that,M|the lost steps the the the waterfall is to the left of that
53,f,mm yeah i do yeah,f|mm yeah i do yeah
54,M,right go up the side of them,M|right go up the side of them
55,f,no,f|no
56,M,right well i've got a rock fall just just below that,M|right well i've got a rock fall just just below that
57,f,uh-huh,f|uh-huh
58,M,so you go down and then you go right,M|so you go down and then you go right
59,f,yeah,f|yeah
60,M,right okay ehm now you've got to drop down about an inch and a half straight down to the fallen pillar,M|right okay ehm now you've got to drop down about an inch and a half straight down to the fallen pillar
61,f,all right so you've the rope bridge and the waterfall and the fallen pillars so at the moment i'm at the waterfall,f|all right so you've the rope bridge and the waterfall and the fallen pillars so at the moment i'm at the waterfall
62,M,uh-uh you're at the top of the waterfall you're going vertically downwards,M|uh-uh you're at the top of the waterfall you're going vertically downwards
63,f,straight up,f|straight up
64,M,yeah straight up to the rope,M|yeah straight up to the rope
65,f,yeah so i'm straight up i'm now at the top of the waterfall ehm not quite halfway up the page,f|yeah so i'm straight up i'm now at the top of the waterfall ehm not quite halfway up the page
66,M,uh oh you're going to go up yeah,M|uh oh you're going to go up yeah
67,f,okay,f|okay
68,M,and then you go along the bottom of the fallen pillar and then up,M|and then you go along the bottom of the fallen pillar and then up
69,f,yeah okay that's fine,f|yeah okay that's fine
