,Speaker,Utterance,Unified
5,B,Right.,B|Right.
6,M,Right.,M|Right.
7,B,Uh-huh.,B|Uh-huh.
8,M,"But of course, I'm not.","M|But of course, I'm not."
9,B,Uh-huh. You must be a .,B|Uh-huh. You must be a .
10,M,you.,M|you.
11,B,So am I.,B|So am I.
12,M,He nods. So what do you want?,M|He nods. So what do you want?
13,B,"Yes, what a coincidence.","B|Yes, what a coincidence."
14,M,You're everywhere.,M|You're everywhere.
15,B,"Yeah, I know what family home evening's all about.","B|Yeah, I know what family home evening's all about."
16,M,Not anymore,M|Not anymore
17,B,"Uh-huh. Right, and then the family home evening, too.","B|Uh-huh. Right, and then the family home evening, too."
18,M,"Well, that's not what I meant.","M|Well, that's not what I meant."
19,B,"Right. Well, that's good. Um, how many children do you have?","B|Right. Well, that's good. Um, how many children do you have?"
20,M,"Right, so, it's important to me.","M|Right, so, it's important to me."
21,B,Two?,B|Two?
22,M,"Yes, they do.","M|Yes, they do."
23,B,I have two daughters.,B|I have two daughters.
24,M,How many daughters do you own?,M|How many daughters do you own?
25,B,"My oldest is, uh, four and my youngest is about to turn three. Two girls. And they are a handful","B|My oldest is, uh, four and my youngest is about to turn three. Two girls. And they are a handful"
26,M,Uh oh.,M|Uh oh.
27,B,"Yes. We've, my, uh, well, when we first got married, my wife worked for a year. Then we decided to have kids.","B|Yes. We've, my, uh, well, when we first got married, my wife worked for a year. Then we decided to have kids."
28,M,"Well, they're a handful.","M|Well, they're a handful."
29,B,"And, uh, she, she got pregnant and then we decided she would stay home with the kids. We would make that sacrifice. It is a financial sacrifice to make because we go from two incomes down to one.","B|And, uh, she, she got pregnant and then we decided she would stay home with the kids. We would make that sacrifice. It is a financial sacrifice to make because we go from two incomes down to one."
30,M,I love it!,M|I love it!
31,B,"And, uh, we made that decision and, uh, so after she had the first baby, she stayed home. And, and we had a second baby and she's still at home","B|And, uh, we made that decision and, uh, so after she had the first baby, she stayed home. And, and we had a second baby and she's still at home"
32,M,,M|
33,B,"And so, uh, you know, at work a lot of people are, you know, I think well this is not a normal situation anymore in our, in our world we live in. Most of them, uh, continue to work if they have, have kids.","B|And so, uh, you know, at work a lot of people are, you know, I think well this is not a normal situation anymore in our, in our world we live in. Most of them, uh, continue to work if they have, have kids."
34,M,"I,","M|I,"
35,B,"I only have one other person I know in my, in my group here that works where the wife stays home, and that's because of religious values as well. They're Baptists and they, and they think that's important.","B|I only have one other person I know in my, in my group here that works where the wife stays home, and that's because of religious values as well. They're Baptists and they, and they think that's important."
36,M,...,M|...
37,B,"But everybody else works and they drop their kids off at day-care and, and leave them and, I don't know, I just don't want, I just don't want strangers raising my children.","B|But everybody else works and they drop their kids off at day-care and, and leave them and, I don't know, I just don't want, I just don't want strangers raising my children."
38,M,...,M|...
39,B,Right.,B|Right.
40,M,So is the,M|So is the
41,B,"That's how it is at our house when you're on the phone. Oh, it's open, anything goes when mom's on the phone","B|That's how it is at our house when you're on the phone. Oh, it's open, anything goes when mom's on the phone"
42,M,Is this,M|Is this
43,B,Uh-huh.,B|Uh-huh.
44,M,Ohhaha. So you...,M|Ohhaha. So you...
45,B,Right.,B|Right.
46,M,I'm the kid's home.,M|I'm the kid's home.
47,B,Right.,B|Right.
48,M,right.,M|right.
49,B,Right.,B|Right.
50,M,I read the books in the morning.,M|I read the books in the morning.
51,B,With all the yard work and things like that.,B|With all the yard work and things like that.
52,M,I wonder how many hours a day he spends in the office.,M|I wonder how many hours a day he spends in the office.
53,B,Uh-huh.,B|Uh-huh.
54,M,... I... I'm not sure,M|... I... I'm not sure
55,B,"Uh-huh. Right, we feel that, you know, just spending time together. You don't necessarily have to be doing anything, you know, that costs money or, or, you know, that requires you to go a great distance or anything like that. It's just the kids like to, being together as a family.","B|Uh-huh. Right, we feel that, you know, just spending time together. You don't necessarily have to be doing anything, you know, that costs money or, or, you know, that requires you to go a great distance or anything like that. It's just the kids like to, being together as a family."
56,M,...,M|...
57,B,"Like last Saturday we went, had some errands to run and so we took the kids and, and went by the Farmers Market down in, in, down there in Garland.","B|Like last Saturday we went, had some errands to run and so we took the kids and, and went by the Farmers Market down in, in, down there in Garland."
58,M,We,M|We
59,B,"And they had a blast running around the Farmers Market looking at all the, you know, the food and tasting all the free samples they were giving out. And they had a little pen there with animals in they could pet, you know,","B|And they had a blast running around the Farmers Market looking at all the, you know, the food and tasting all the free samples they were giving out. And they had a little pen there with animals in they could pet, you know,"
60,M,...,M|...
61,B,"and they liked that. And then on the way home we drove by the local high school and there happened to be an F A, F A A, Future F A, Future Farmers of America, F F A going on there,","B|and they liked that. And then on the way home we drove by the local high school and there happened to be an F A, F A A, Future F A, Future Farmers of America, F F A going on there,"
62,M,I,M|I
63,B,"and they had all kinds of pigs and horses and goats and sheep and everything, you know, all out in this, in the, in this schoolyard there. So we just said, hey, let's stop and and the kids got to go around and, you know, see pigs and animals and things like that,","B|and they had all kinds of pigs and horses and goats and sheep and everything, you know, all out in this, in the, in this schoolyard there. So we just said, hey, let's stop and and the kids got to go around and, you know, see pigs and animals and things like that,"
64,M,"There,","M|There,"
65,B,"and, and for them that's wonderful, you know. They, they thought it was the greatest fun, you know, and it didn't cost any money. And, uh, you don't have quite as much money when, when the wife doesn't work.","B|and, and for them that's wonderful, you know. They, they thought it was the greatest fun, you know, and it didn't cost any money. And, uh, you don't have quite as much money when, when the wife doesn't work."
66,M,"We,","M|We,"
67,B,Right.,B|Right.
68,M,...,M|...
69,B,Uh-huh.,B|Uh-huh.
